,Station,Code,Lat-coord,Lng-coord,Randstad,Type,uic
540,Waddinxveen Noord,WADN,52.055000305176,4.6483335494995,1.0,stoptreinstation,8400674
541,Waddinxveen Triangel,WADT,52.02725,4.6491,1.0,stoptreinstation,8400677
542,Warffum,WFM,53.3908431,6.5671364,0.0,stoptreinstation,8400679
544,Weert,WT,51.248611450195,5.7036108970642,0.0,intercitystation,8400684
545,Weesp,WP,52.3127784729,5.0430555343628,1.0,knooppuntStoptreinstation,8400685
546,Wehl,WL,51.9578065,6.213844,0.0,stoptreinstation,8400686
549,Westervoort,WTV,51.96286,5.9695,0.0,stoptreinstation,8400688
550,Wezep,WZ,52.454166412354,6.0025000572205,0.0,stoptreinstation,8400690
553,Wierden,WDN,52.361389160156,6.5916666984558,0.0,knooppuntStoptreinstation,8400691
554,Wijchen,WC,51.811668395996,5.730833530426,0.0,stoptreinstation,8400710
555,Wijhe,WH,52.390277862549,6.1405553817749,0.0,intercitystation,8400711
557,Winschoten,WS,53.1392377,7.035101,0.0,knooppuntStoptreinstation,8400696
558,Winsum,WSM,53.3300994,6.5202905,0.0,stoptreinstation,8400697
559,Winterswijk,WW,51.9677307,6.7155181,0.0,knooppuntStoptreinstation,8400698
560,Winterswijk West,WWW,51.97453,6.70417,0.0,stoptreinstation,8400700
561,Woerden,WD,52.084999084473,4.8936109542847,1.0,knooppuntStoptreinstation,8400702
562,Wolfheze,WF,52.005554199219,5.7936110496521,0.0,stoptreinstation,8400704
564,Wolvega,WV,52.880832672119,6.0036110877991,0.0,stoptreinstation,8400705
566,Workum,WK,52.9724864,5.4564285,0.0,stoptreinstation,8400706
567,Wormerveer,WM,52.489166259766,4.7922220230103,0.0,stoptreinstation,8400707
573,Zaandam,ZD,52.438888549805,4.8136110305786,1.0,knooppuntIntercitystation,8400731
574,Zaandam Kogerveld,ZDK,52.456665039062,4.8202776908875,1.0,stoptreinstation,8400728
575,Zaandijk Zaanse Schans,ZZS,52.469165802002,4.8049998283386,1.0,knooppuntStoptreinstation,8400364
576,Zaltbommel,ZBM,51.80888748169,5.2633333206177,0.0,stoptreinstation,8400732
577,Zandvoort aan Zee,ZVT,52.3752784729,4.5327777862549,1.0,stoptreinstation,8400733
578,Zetten-Andelst,ZA,51.920056,5.7228408,0.0,stoptreinstation,8400734
579,Zevenaar,ZV,51.923053741455,6.0719442367554,0.0,knooppuntStoptreinstation,8400735
580,Zevenbergen,ZVB,51.64042,4.60904,0.0,stoptreinstation,8400737
581,Zoetermeer,ZTM,52.047500610352,4.4772224426269,1.0,knooppuntStoptreinstation,8400741
582,Zoetermeer Oost,ZTMO,52.046390533447,4.4927778244019,1.0,stoptreinstation,8400740
583,Zuidbroek,ZB,53.159612280006,6.8679141998291,0.0,knooppuntStoptreinstation,8400742
584,Zuidhorn,ZH,53.2486292,6.4062361,0.0,stoptreinstation,8400743
586,Zutphen,ZP,52.145278930664,6.1941666603088,0.0,knooppuntIntercitystation,8400744
587,Zwijndrecht,ZWD,51.814998626709,4.6416668891907,1.0,stoptreinstation,8400752
589,Zwolle,ZL,52.504722595215,6.0919442176819,0.0,knooppuntIntercitystation,8400747
590,Zwolle Stadshagen,ZLSH,52.52764,6.05146,0.0,stoptreinstation,8400746
