,From,To,Seats
76,VG,HT,132643.0
77,HT,ZBM,146628.0
78,ZBM,GDM,146628.0
79,GDM,CL,177948.0
80,CL,HTNC,177948.0
81,HTNC,HTN,177948.0
82,HTN,UTLN,177948.0
83,UTLN,UTVR,177948.0
84,UTVR,UT,309904.0
85,UT,UTZL,254221.0
86,UTZL,MAS,253897.0
87,MAS,BKL,253897.0
88,BKL,AC,265667.0
89,AC,ASHD,265667.0
90,ASHD,ASB,265667.0
91,ASB,DVD,174767.0
92,DVD,ASA,174767.0
93,ASA,ASDM,174767.0
94,ASDM,ASD,284756.0
95,ASD,ASS,444295.0
96,ASS,ZD,197668.0
97,ZD,KZ,131008.0
98,KZ,ZZS,131008.0
99,ZZS,WM,131008.0
100,WM,KMA,131008.0
101,KMA,UTG,131008.0
102,UTG,CAS,115876.0
103,CAS,HLO,115876.0
104,HLO,AMR,115876.0
105,AMR,AMRN,78920.0
106,AMRN,HWD,75304.0
107,HWD,SGN,44200.0
108,SGN,ANA,44200.0
109,ANA,HDRZ,44200.0
110,HDRZ,HDR,44200.0
111,ASS,ASDL,134631.0
112,ASDL,SHL,134631.0
113,HFD,RTD,52756.0
114,RTD,RTB,205024.0
115,RTB,RTZ,201024.0
116,RTZ,RTST,201024.0
117,RTST,RLB,201024.0
118,RLB,BDPB,65824.0
119,BDPB,BD,92742.0
120,BTL,OT,68264.0
121,OT,TB,68264.0
122,TB,TBU,134440.0
123,TBU,TBR,109848.0
124,TBR,GZ,109848.0
125,GZ,BD,109848.0
126,RTD,SDM,199219.0
127,SDM,DTCP,199069.0
128,DTCP,DT,199069.0
129,DT,RSW,199069.0
130,RSW,GVMW,199069.0
131,GVMW,GV,199069.0
132,GV,GVC,92668.0
133,GV,LAA,105725.0
134,AMF,BRN,71975.0
135,BRN,HVS,84425.0
136,HVS,HVSM,134227.0
137,HVSM,BSMZ,134227.0
138,BSMZ,NDB,134227.0
139,NDB,WP,106601.0
140,WP,DMN,109989.0
141,DMN,ASSP,109989.0
142,ASSP,ASDM,109989.0
143,RSN,HON,19400.0
144,HON,DVC,19400.0
145,DVC,DV,19700.0
146,DV,TWL,29375.0
147,TWL,APDO,29375.0
148,APDO,APD,29375.0
149,APD,HVL,19175.0
150,HVL,AMF,42431.0
151,GD,LLZM,104062.0
152,LLZM,ZTMO,104062.0
153,ZTMO,ZTM,104062.0
