,From,To,Seats
199,Bnk,Utvr,131566.0
200,Asb,Rai,90080.0
201,Vl,Br,41600.0
202,Br,Hrt,41600.0
203,Hrt,Dn,41600.0
204,Dn,Hmbh,62482.0
205,Hmbh,Hm,62482.0
206,Hm,Hmh,62482.0
207,Hmh,Hmbv,62482.0
208,Hmbv,Ehv,62482.0
209,Rsd,Etn,42600.0
210,Etn,Bd,42600.0
211,Tb,Ht,67752.0
212,Ht,Hto,67441.0
213,Hto,Rs,67070.0
214,Rs,Ow,67070.0
215,Ow,O,67070.0
216,O,Rvs,65798.0
217,Rvs,Wc,65798.0
218,Wc,Nmd,78528.0
219,Nmd,Nmgo,78528.0
220,Nmgo,Nm,78528.0
221,Ah,Ahp,59509.0
222,Ahp,Ahpr,59509.0
223,Ahpr,Vp,59509.0
224,Vp,Rh,59509.0
225,Rh,Dr,59509.0
226,Dr,Bmn,59509.0
227,Bmn,Zp,59509.0
228,Zp,Dv,42400.0
229,Dv,Ost,42400.0
230,Ost,Wh,42400.0
231,Wh,Zl,42400.0
232,Hrl,Hb,34400.0
233,Hb,Nh,34400.0
234,Nh,Sn,34400.0
235,Sn,Sbk,34400.0
236,Sbk,Gln,34400.0
237,Gln,Std,34400.0
238,Wd,Bkl,36612.0
239,Hn,Obd,26784.0
240,Obd,Hwd,26784.0
241,Utg,Hk,30400.0
242,Hk,Bv,30400.0
243,Bv,Drh,30400.0
244,Drh,Sptn,30400.0
245,Sptn,Sptz,30400.0
246,Sptz,Bll,30400.0
247,Bll,Hlm,30400.0
248,Uto,Hor,46934.0
249,Hor,Hvsp,46934.0
250,Hvsp,Hvs,46934.0
251,Ndb,Ampo,25436.0
252,Zvt,Ovn,29644.0
253,Ovn,Hlm,29644.0
254,Brn,Sd,1100.0
255,Sd,St,1100.0
256,St,Stz,1100.0
257,Stz,Dld,1100.0
258,Zlw,Bdpb,26441.0
259,Tl,Tpsw,28728.0
260,Tpsw,Gdm,28728.0
261,Rhn,Vndc,28206.0
262,Vndc,Vndw,28206.0
263,Vndw,Mrn,28206.0
264,Wd,Bdg,46656.0
265,Bdg,Apn,46656.0
266,Apn,Ldl,47196.0
267,Ldl,Ledn,47196.0
268,Es,Esk,15150.0
269,Esk,Hgl,15150.0
270,Hgl,Bn,15150.0
271,Bn,Amri,15150.0
272,Amri,Aml,15150.0
