,From,To,Seats
99,CAS,HLO,108584.0
100,HLO,AMR,108584.0
101,AMR,AMRN,71752.0
102,AMRN,HWD,67336.0
103,HWD,SGN,41200.0
104,SGN,ANA,41200.0
105,ANA,HDRZ,41200.0
106,HDRZ,HDR,41200.0
107,ASS,ASDL,121356.0
108,ASDL,SHL,121356.0
109,HFD,RTD,43516.0
110,RTD,RTB,188208.0
111,RTB,RTZ,183008.0
112,RTZ,RTST,183008.0
113,RTST,RLB,183008.0
114,RLB,BDPB,51308.0
115,BDPB,BD,77961.0
116,BTL,OT,62838.0
117,OT,TB,62838.0
118,TB,TBU,130202.0
119,TBU,TBR,104232.0
120,TBR,GZ,104232.0
121,GZ,BD,104232.0
122,RTD,SDM,190890.0
123,SDM,DTCP,190890.0
124,DTCP,DT,190890.0
125,DT,RSW,190890.0
126,RSW,GVMW,190890.0
127,GVMW,GV,190890.0
128,GV,GVC,85262.0
129,GV,LAA,104900.0
130,AMF,BRN,77600.0
131,BRN,HVS,89000.0
132,HVS,HVSM,137344.0
133,HVSM,BSMZ,137344.0
134,BSMZ,NDB,137344.0
135,NDB,WP,110838.0
136,WP,DMN,112641.0
137,DMN,ASSP,112641.0
138,ASSP,ASDM,112641.0
139,RSN,HON,19650.0
140,HON,DVC,19650.0
141,DVC,DV,21100.0
142,DV,TWL,32000.0
143,TWL,APDO,32000.0
144,APDO,APD,32000.0
145,APD,HVL,21875.0
146,HVL,AMF,45131.0
147,GD,LLZM,104717.0
148,LLZM,ZTMO,104717.0
149,ZTMO,ZTM,104717.0
150,ZTM,YPB,104717.0
151,YPB,VB,104717.0
152,VB,GVC,104717.0
153,LEDN,VH,120208.0
154,VH,HIL,120208.0
155,HIL,HAD,120208.0
156,HAD,HLM,120408.0
157,HLM,HLMS,151260.0
158,HLMS,HWZB,151260.0
159,HWZB,ASS,151260.0
160,RLB,BRD,131700.0
161,BRD,ZWD,131700.0
162,ZWD,DDR,131700.0
163,DDR,DDZD,78753.0
164,DDZD,ZLW,78753.0
165,ZLW,ZVB,52100.0
166,ZVB,ODB,52100.0
167,ODB,RSD,52100.0
168,RSD,BGN,48500.0
169,BGN,RB,46900.0
170,RB,KBD,46900.0
171,KBD,KRG,46900.0
172,KRG,BZL,46900.0
173,BZL,GS,46900.0
174,GS,ARN,46900.0
175,ARN,MDB,46900.0
176,MDB,VSS,46900.0
177,VSS,VS,46900.0
178,ZD,ZDK,63860.0
179,ZDK,PMW,63860.0
180,PMW,PMR,63860.0
181,PMR,PMO,63860.0
182,PMO,HN,63860.0
183,HN,HNK,61110.0
184,HNK,HKS,41160.0
185,HKS,BKG,41160.0
186,BKG,BKF,41160.0
187,BKF,EKZ,41160.0
188,NM,NML,165387.0
189,NML,EST,164313.0
190,EST,AHZ,170523.0
191,AHZ,AH,170523.0
192,AH,OTB,107512.0
193,OTB,WF,107512.0
194,WF,ED,107512.0
195,ED,KLP,96700.0
196,KLP,MRN,96700.0
197,MRN,DB,123940.0
198,DB,BNK,130840.0
199,BNK,UTVR,130840.0
200,ASB,RAI,93280.0
201,VL,BR,57785.0
202,BR,HRT,44600.0
203,HRT,DN,44600.0
204,DN,HMBH,65800.0
205,HMBH,HM,65800.0
206,HM,HMH,65800.0
207,HMH,HMBV,65800.0
208,HMBV,EHV,65800.0
209,RSD,ETN,42000.0
210,ETN,BD,42000.0
211,TB,HT,67364.0
212,HT,HTO,66906.0
213,HTO,RS,66906.0
214,RS,OW,66906.0
215,OW,O,66906.0
216,O,RVS,65528.0
217,RVS,WC,65528.0
218,WC,NMD,78258.0
219,NMD,NMGO,78258.0
220,NMGO,NM,78258.0
221,AH,AHP,69760.0
222,AHP,AHPR,58150.0
223,AHPR,VP,58150.0
224,VP,RH,58150.0
225,RH,DR,58150.0
226,DR,BMN,58150.0
227,BMN,ZP,58150.0
228,ZP,DV,41200.0
229,DV,OST,41200.0
230,OST,WH,41200.0
231,WH,ZL,41200.0
232,HRL,HB,44520.0
233,HB,NH,44520.0
234,NH,SN,44520.0
235,SN,SBK,44520.0
236,SBK,GLN,44520.0
237,GLN,STD,44520.0
238,WD,BKL,37044.0
239,HN,OBD,26136.0
240,OBD,HWD,26136.0
241,UTG,HK,30616.0
242,HK,BV,30616.0
243,BV,DRH,30616.0
244,DRH,SPTN,30616.0
245,SPTN,SPTZ,30616.0
246,SPTZ,BLL,30616.0
247,BLL,HLM,30616.0
248,UTO,HOR,49524.0
249,HOR,HVSP,49524.0
250,HVSP,HVS,49524.0
251,NDB,AMPO,26506.0
252,ZVT,OVN,29644.0
253,OVN,HLM,29644.0
254,BRN,SD,1000.0
255,SD,ST,1000.0
256,ST,STZ,1000.0
257,STZ,DLD,1000.0
258,ZLW,BDPB,26653.0
259,TL,TPSW,27972.0
260,TPSW,GDM,27972.0
261,RHN,VNDC,27240.0
262,VNDC,VNDW,27240.0
263,VNDW,MRN,27240.0
264,WD,BDG,43956.0
265,BDG,APN,43956.0
266,APN,LDL,44496.0
267,LDL,LEDN,44496.0
268,ES,ESK,38685.0
269,ESK,HGL,38685.0
270,HGL,BN,38685.0
271,BN,AMRI,38685.0
272,AMRI,AML,38685.0
273,EMN,EMNZ,6930.0
274,EMNZ,NA,6930.0
275,NA,DLN,6930.0
276,DLN,CO,6930.0
277,CO,GBG,8820.0
278,GBG,HDB,8820.0
279,HDB,MRB,12200.0
280,MRB,OMN,8820.0
281,OMN,DL,8820.0
282,DL,ZL,8820.0
283,ZP,VEM,8370.0
284,VEM,KBK,8370.0
285,KBK,APDM,8370.0
286,APDM,APD,8370.0
287,AHBF,AW,9063.0
288,AW,HZ,9063.0
289,HZ,EGHM,9063.0
290,EGHM,LG,9063.0
291,LG,HRL,15903.0
292,HRL,HRLW,15552.0
293,HRLW,VDL,15552.0
294,VDL,KMR,15552.0
295,KMR,SOG,15552.0
296,SOG,VK,15552.0
297,VK,SGL,15552.0
298,SGL,MES,15552.0
299,MES,MTN,15552.0
300,MTN,MT,15552.0
301,MT,MTR,22449.0
302,MTR,EDN,5301.0
303,EDN,FVS,5301.0
304,FVS,BRESSX,5301.0
305,BRESSX,LUIK,5301.0
306,GERP,KW,15120.0
307,KW,MTH,15120.0
308,MTH,HGZ,15120.0
309,HGZ,ZB,15120.0
310,ZB,SDA,9630.0
311,SDA,WS,9630.0
312,WS,NSCH,5355.0
313,WW,WWW,8370.0
314,WWW,LTV,8370.0
315,LTV,RL,8370.0
316,RL,VD,8370.0
317,VD,ZP,8370.0
318,WW,ATN,11610.0
319,ATN,VSV,11610.0
320,VSV,TBG,11610.0
321,TBG,GDR,11610.0
322,GDR,DTC,11610.0
323,DTC,DTCH,11610.0
324,DTCH,WL,11610.0
325,WL,DID,11610.0
326,DID,ZV,11610.0
327,ZV,DVN,11610.0
328,DVN,WTV,11610.0
329,WTV,AHP,11610.0
330,MRB,VHP,3900.0
331,VHP,DA,3900.0
332,DA,VZ,3900.0
333,VZ,AML,3900.0
334,EST,ZA,6210.0
335,ZA,HMN,6210.0
336,HMN,OP,6210.0
337,OP,KTR,6210.0
338,KTR,TL,6210.0
339,ODZ,HGLO,11700.0
340,HGLO,HGL,11700.0
341,HGL,HGLG,11310.0
342,HGLG,DDN,11310.0
343,DDN,GO,11310.0
344,GO,LC,11310.0
345,LC,ZP,11310.0
346,LG,EGH,6840.0
347,EGH,CVM,6840.0
348,CVM,KRD,6840.0
349,RM,SM,12195.0
350,SM,RV,12195.0
351,RV,TG,12195.0
352,TG,VL,12195.0
353,BR,VRY,13320.0
354,VRY,VLB,15255.0
355,VLB,BMR,15255.0
356,BMR,CK,15255.0
357,CK,MMLH,15255.0
358,MMLH,NMH,15255.0
359,NMH,NM,15255.0
360,SK,SKND,12564.0
361,SKND,MG,12564.0
362,MG,LW,12564.0
363,STV,KMW,7272.0
364,KMW,HNP,7272.0
365,HNP,WK,7272.0
366,WK,IJT,7272.0
367,IJT,SK,7272.0
368,HLGH,HLG,10638.0
369,HLG,FN,10638.0
370,FN,DRP,10638.0
371,DRP,DEI,10638.0
372,DEI,LW,10638.0
373,LW,LWC,22590.0
374,LWC,HDG,22590.0
375,HDG,FWD,22590.0
376,FWD,DWE,22590.0
377,DWE,BP,22590.0
378,BP,GK,22590.0
379,GK,ZH,22590.0
380,ZH,GN,23220.0
381,EEM,RD,5040.0
382,RD,UHM,10530.0
383,UHM,UHZ,10530.0
384,UHZ,UST,10530.0
385,UST,WFM,10530.0
386,WFM,BF,10530.0
387,BF,WSM,10530.0
388,WSM,SWD,10530.0
389,SWD,GNN,20160.0
390,GNN,GN,20160.0
391,DZ,DZW,9630.0
392,DZW,APG,9630.0
393,APG,LP,9630.0
394,LP,STM,9630.0
395,STM,BDM,9630.0
396,BDM,SWD,9630.0
397,ZB,VDM,5490.0
398,GR,BHDV,18495.0
399,BHDV,GND,18495.0
400,GND,HBZM,18495.0
401,HBZM,SDT,18495.0
402,SDT,SDTB,18495.0
403,SDTB,DDRS,18495.0
404,DDRS,DDR,18495.0
405,GDM,BSD,9990.0
406,BSD,LDM,9990.0
407,LDM,AKL,9990.0
408,AKL,GR,9990.0
409,NVD,RAT,26049.0
410,RAT,HNO,26049.0
411,HNO,ZL,26049.0
412,KPN,ZLSH,17784.0
413,ZLSH,ZL,17784.0
414,ED,EDC,12996.0
415,EDC,LTN,12996.0
416,LTN,BNZ,12996.0
417,BNZ,BNC,23256.0
418,BNC,BNN,23256.0
419,BNN,HVL,23256.0
