,From,To,Seats
223,Etn,Bd,206200.0
224,Tb,Ht,
225,Ht,Hto,417284.0
226,Hto,Rs,416542.0
227,Rs,Ow,416542.0
228,Ow,O,416542.0
229,O,Rvs,411348.0
230,Rvs,Wc,411348.0
231,Wc,Nmd,478368.0
232,Nmd,Nmgo,478368.0
233,Nmgo,Nm,478368.0
234,Ah,Ahp,
235,Ahp,Ahpr,364185.0
236,Ahpr,Vp,364185.0
237,Vp,Rh,364185.0
238,Rh,Dr,364185.0
239,Dr,Bmn,363785.0
240,Bmn,Zp,363785.0
241,Zp,Dv,266600.0
242,Dv,Ost,266600.0
243,Ost,Wh,266600.0
244,Wh,Zl,266600.0
245,Hrl,Hb,215400.0
246,Hb,Nh,215400.0
247,Nh,Sn,215400.0
248,Sn,Sbk,215400.0
249,Sbk,Gln,215400.0
250,Gln,Std,215400.0
251,Wd,Bkl,257472.0
252,Hn,Obd,198072.0
253,Obd,Hwd,198072.0
254,Utg,Hk,229500.0
255,Hk,Bv,229500.0
256,Bv,Drh,229500.0
257,Drh,Sptn,229500.0
258,Sptn,Sptz,229500.0
259,Sptz,Bll,229500.0
260,Bll,Hlm,229500.0
261,Uto,Hor,
262,Hor,Hvsp,
263,Hvsp,Hvs,
264,Ndb,Ampo,168350.0
265,Zvt,Ovn,
266,Ovn,Hlm,
267,Brn,Sd,54746.0
268,Sd,St,54746.0
269,St,Stz,54746.0
270,Stz,Dld,54746.0
271,Zlw,Bdpb,
272,Tl,Tpsw,191808.0
273,Tpsw,Gdm,191808.0
274,Rhn,Vndc,163486.0
275,Vndc,Vndw,163486.0
276,Vndw,Mrn,163486.0
277,Wd,Bdg,265356.0
278,Bdg,Apn,265356.0
279,Apn,Ldl,268056.0
280,Ldl,Ledn,268056.0
281,Gd,Rtd,1300.0
282,Ut,Rtd,
283,Ehv,Ht,
284,Uto,Utm,
285,Emn,Emnz,
286,Emnz,Na,
287,Na,Dln,
288,Dln,Co,
289,Co,Gbg,
290,Gbg,Hdb,
291,Hdb,Mrb,
292,Mrb,Omn,
293,Omn,Dl,
294,Dl,Zl,
295,Zp,Vem,0.0
296,Vem,Kbk,0.0
297,Kbk,Apdm,0.0
298,Apdm,Apd,0.0
299,Ahbf,Aw,0.0
300,Aw,Hz,0.0
301,Hz,Eghm,0.0
302,Eghm,Lg,0.0
303,Lg,Hrl,0.0
304,Hrl,Hrlw,0.0
305,Hrlw,Vdl,0.0
306,Vdl,Kmr,0.0
307,Kmr,Sog,0.0
308,Sog,Vk,0.0
309,Vk,Sgl,0.0
310,Sgl,Mes,0.0
311,Mes,Mtn,0.0
312,Mtn,Mt,0.0
313,Mt,Mtr,0.0
314,Mtr,Edn,0.0
315,Edn,Fvs,0.0
316,Fvs,Bressx,0.0
317,Bressx,Luik,0.0
318,Gerp,Kw,
319,Kw,Mth,
320,Mth,Hgz,
321,Hgz,Zb,
322,Zb,Sda,
323,Sda,Ws,
324,Ws,Nsch,
325,Ww,Www,0.0
326,Www,Ltv,0.0
327,Ltv,Rl,0.0
328,Rl,Vd,0.0
329,Vd,Zp,0.0
330,Ww,Atn,
