,Station,Code,Lat-coord,Lng-coord,Randstad,Type,uic
69,Basel SBB,BASELS,47.5474,7.58956,0.0,megastation,8500010
70,Bedum,BDM,53.3068857,6.593054,0.0,stoptreinstation,8400094
71,Beek-Elsloo,BK,50.947498321533,5.7866668701172,0.0,stoptreinstation,8400096
72,Beesd,BSD,51.899444580078,5.1944446563721,0.0,stoptreinstation,8400097
73,Beilen,BL,52.854721069336,6.5211110115051,0.0,stoptreinstation,8400100
74,Belsele,LLB,51.150833,4.088332,0.0,stoptreinstation,8894433
75,Bergen op Zoom,BGN,51.49388885498,4.2961111068726,0.0,stoptreinstation,8400108
76,Berlin Gesundbrunnen,GSB,52.5486327,13.3904267,0.0,intercitystation,8007799
77,Berlin Hbf,BERHBL,52.52503,13.36946,0.0,megastation,8065969
78,Berlin Ostbahnhof,BHF,52.5104989,13.4346995,0.0,knooppuntIntercitystation,8003004
79,Berlin-Spandau,BSPD,52.5343152,13.1989467,0.0,intercitystation,8003025
80,Best,BET,51.509998321533,5.3891668319702,0.0,stoptreinstation,8400112
81,Beveren,FBR,51.208056,4.259444,0.0,stoptreinstation,8894748
82,Beverwijk,BV,52.478332519531,4.6566667556763,0.0,stoptreinstation,8400113
83,Bielefeld Hbf,BIELEF,52.029261,8.532722,0.0,stoptreinstation,8013597
84,Bilthoven,BHV,52.130001068115,5.2038888931274,1.0,stoptreinstation,8400114
85,Bilzen,FIE,50.868333,5.509167,0.0,stoptreinstation,8831138
86,Blerick,BR,51.372501373291,6.1550002098083,0.0,stoptreinstation,8400117
87,Bloemendaal,BLL,52.404167175293,4.6275000572205,1.0,stoptreinstation,8400118
88,Bodegraven,BDG,52.081390380859,4.7461109161377,1.0,stoptreinstation,8400121
89,Boisheim,KBOI,51.274323,6.274591,0.0,intercitystation,8015128
90,Bologna Centrale,ALESS,44.506389,11.341944,0.0,intercitystation,8305043
91,Bönen,EBEO,51.598015,7.757296,0.0,stoptreinstation,8010385
92,Bonn Hbf,BONN,50.732014164675,7.0971250534058,0.0,stoptreinstation,8015485
93,Bonn-Beuel,KBB,50.738611,7.127778,0.0,intercitystation,8015577
94,Boom,FMB,51.09063,4.36057,0.0,stoptreinstation,8822814
95,Bork (Westf),EBOK,51.66988,7.45664,0.0,stoptreinstation,8021111
96,Borne,BN,52.298889160156,6.7480554580689,0.0,stoptreinstation,8400124
97,Boskoop,BSK,52.077777862549,4.6469445228577,1.0,stoptreinstation,8400125
98,Boskoop Snijdelwijk,BSKS,52.067658,4.646186,1.0,stoptreinstation,8400126
99,Bourg-St-Maurice,BOURG,45.61918,6.77167,0.0,intercitystation,8774179
100,Boven-Hardinxveld,BHDV,51.832222,4.878056,1.0,stoptreinstation,8400236
101,Bovenkarspel Flora,BKF,52.696109771729,5.2527775764465,0.0,stoptreinstation,8400230
102,Bovenkarspel-Grootebroek,BKG,52.694999694824,5.2377777099609,0.0,stoptreinstation,8400127
103,Boxmeer,BMR,51.644521767653,5.9390330314636,0.0,knooppuntStoptreinstation,8400128
104,Boxtel,BTL,51.58433,5.31912,0.0,knooppuntStoptreinstation,8400129
105,Breda,BD,51.595554351807,4.7800002098083,0.0,knooppuntIntercitystation,8400131
106,Breda-Prinsenbeek,BDPB,51.606388092041,4.7208333015442,0.0,stoptreinstation,8400132
107,Bressoux,BRESSX,50.643829,5.6112542,0.0,stoptreinstation,8843901
108,Breukelen,BKL,52.17149,4.9906,1.0,knooppuntStoptreinstation,8400133
109,Breyell,KBRY,51.294615,6.241174,0.0,intercitystation,8015129
110,Brummen,BMN,52.091110229492,6.1469445228577,0.0,stoptreinstation,8400136
111,Brussel-Centraal,BRUSC,50.845175,4.357131,0.0,intercitystation,8813003
112,Brussel-Noord,BRUSN,50.859658,4.360854,0.0,knooppuntIntercitystation,8812005
113,Brussel-Zuid Midi,BRUSZ,50.836782,4.336922,0.0,megastation,8814001
114,Brussels Airport-Zaventem,FBNL,50.896821,4.48549,0.0,megastation,8819406
115,Buitenpost,BP,53.2564547,6.1446496,0.0,knooppuntSneltreinstation,8400139
116,Bunde,BDE,50.896945953369,5.7366666793823,0.0,stoptreinstation,8400140
117,Bünde (Westf),BUENDE,52.202075,8.573876,0.0,stoptreinstation,8021173
118,Bunnik,BNK,52.063056945801,5.1944446563721,1.0,stoptreinstation,8400141
119,Bussum Zuid,BSMZ,52.26583480835,5.1630554199219,1.0,stoptreinstation,8400145
120,Capelle Schollevaar,CPS,51.954166412354,4.5841665267944,1.0,stoptreinstation,8400147
121,Castricum,CAS,52.545833587646,4.6586112976074,0.0,intercitystation,8400151
122,Chambéry,CHAMB,45.57127,5.91953,0.0,intercitystation,8774100
123,Chevremont,CVM,50.876110076904,6.0597224235535,0.0,stoptreinstation,8400152
124,Coesfeld (Westf),ECMF,51.939,7.1642,0.0,stoptreinstation,8021119
125,Coevorden,CO,52.663612365723,6.7355556488037,0.0,knooppuntSneltreinstation,8400153
