From,To,Difference,Maximum seats,Minimum seats
PT,NKK,39151.0,79161.0,40010.0
CPS,RTA,38887.0,108949.0,70062.0
GD,NWK,38887.0,108949.0,70062.0
NWK,CPS,38887.0,108949.0,70062.0
SDM,DTCP,36665.0,199069.0,162404.0
RTD,SDM,35665.0,199219.0,163554.0
MP,ZL,35140.0,107040.0,71900.0
NMGO,NM,34490.0,78528.0,44038.0
WC,NMD,34490.0,78528.0,44038.0
NMD,NMGO,34490.0,78528.0,44038.0
BTL,OT,34354.0,68264.0,33910.0
OT,TB,34354.0,68264.0,33910.0
HRN,ASN,33728.0,63828.0,30100.0
UTO,HOR,32606.0,51582.0,18976.0
HOR,HVSP,32606.0,51582.0,18976.0
HVSP,HVS,32606.0,51582.0,18976.0
GERP,HRN,31928.0,63828.0,31900.0
WT,MZ,30451.0,95257.0,64806.0
MZ,HZE,30451.0,95257.0,64806.0
GP,EHV,30451.0,95257.0,64806.0
HZE,GP,30451.0,95257.0,64806.0
AKM,HR,30104.0,46679.0,16575.0
ASDM,ASA,28698.0,150654.0,121956.0
LDL,LEDN,27864.0,47304.0,19440.0
APN,LDL,27864.0,47304.0,19440.0
HVL,AMF,27453.0,45131.0,17678.0
AML,WDN,27410.0,66761.0,39351.0
BDG,APN,27324.0,46764.0,19440.0
WD,BDG,27324.0,46764.0,19440.0
HN,HNK,26850.0,69850.0,43000.0
DVD,ASB,26698.0,150654.0,123956.0
ASA,DVD,26698.0,150654.0,123956.0
ZLW,BDPB,26388.0,26918.0,530.0
DDZD,ZLW,26261.0,81191.0,54930.0
DDR,DDZD,26261.0,81191.0,54930.0
LLS,ALMO,25876.0,84484.0,58608.0
AMRI,AML,25426.0,56411.0,30985.0
HGL,BN,25426.0,56411.0,30985.0
ESK,HGL,25426.0,56411.0,30985.0
BN,AMRI,25426.0,56411.0,30985.0
ES,ESK,25426.0,56411.0,30985.0
AH,AHP,25290.0,71119.0,45829.0
HR,WV,24479.0,46679.0,22200.0
HT,HTO,23403.0,67441.0,44038.0
DN,HMBH,23363.0,65800.0,42437.0
WV,SWK,23279.0,46679.0,23400.0
HMBV,EHV,23216.0,65865.0,42649.0
HMBH,HM,23216.0,65865.0,42649.0
HMH,HMBV,23216.0,65865.0,42649.0
HM,HMH,23216.0,65865.0,42649.0
TB,HT,23179.0,67752.0,44573.0
RS,OW,23032.0,67070.0,44038.0
OW,O,23032.0,67070.0,44038.0
HTO,RS,23032.0,67070.0,44038.0
BMN,ZP,22365.0,59509.0,37144.0
RH,DR,22365.0,59509.0,37144.0
AHP,AHPR,22365.0,59509.0,37144.0
DR,BMN,22365.0,59509.0,37144.0
VP,RH,22365.0,59509.0,37144.0
AHPR,VP,22365.0,59509.0,37144.0
HON,DVC,22000.0,39800.0,17800.0
RSN,HON,22000.0,39800.0,17800.0
O,RVS,21760.0,65798.0,44038.0
RVS,WC,21760.0,65798.0,44038.0
HAD,HIL,21184.0,45200.0,24016.0
VH,LEDN,21184.0,45200.0,24016.0
HIL,VH,21184.0,45200.0,24016.0
HLM,HAD,21184.0,45200.0,24016.0
DVC,DV,21000.0,39800.0,18800.0
ZLW,ZVB,20950.0,65850.0,44900.0
ZVB,ODB,20950.0,65850.0,44900.0
ODB,RSD,20950.0,65850.0,44900.0
ZLSH,ZL,20691.0,35568.0,14877.0
KPN,ZLSH,20691.0,35568.0,14877.0
AMR,AMRN,20092.0,81988.0,61896.0
ST,STZ,20060.0,21060.0,1000.0
SD,ST,20060.0,21060.0,1000.0
STZ,DLD,20060.0,21060.0,1000.0
BRN,SD,20060.0,21060.0,1000.0
APDO,APD,19925.0,43075.0,23150.0
TWL,APDO,19925.0,43075.0,23150.0
DV,TWL,19925.0,43075.0,23150.0
PMW,PMR,19650.0,71550.0,51900.0
ZD,ZDK,19650.0,71550.0,51900.0
ZDK,PMW,19650.0,71550.0,51900.0
PMR,PMO,19650.0,71550.0,51900.0
PMO,HN,19650.0,71550.0,51900.0
ASDM,ASD,19608.0,284756.0,265148.0
BNN,HVL,18297.0,29925.0,11628.0
BNZ,BNC,18297.0,29925.0,11628.0
BNC,BNN,18297.0,29925.0,11628.0
HGV,MP,18203.0,59103.0,40900.0
ASN,BL,18203.0,59103.0,40900.0
BL,HGV,18203.0,59103.0,40900.0
APD,HVL,17175.0,21875.0,4700.0
TL,TPSW,16956.0,34560.0,17604.0
TPSW,GDM,16956.0,34560.0,17604.0
SWK,MP,16679.0,46679.0,30000.0
AMRN,HWD,16676.0,78572.0,61896.0
VNDW,MRN,16566.0,28656.0,12090.0
VNDC,VNDW,16566.0,28656.0,12090.0
RHN,VNDC,16566.0,28656.0,12090.0
GLN,STD,16216.0,44920.0,28704.0
SBK,GLN,16216.0,44920.0,28704.0
HRL,HB,16216.0,44920.0,28704.0
HB,NH,16216.0,44920.0,28704.0
SN,SBK,16216.0,44920.0,28704.0
NH,SN,16216.0,44920.0,28704.0
SRN,EC,16078.0,81030.0,64952.0
EC,RM,16078.0,81030.0,64952.0
STD,SRN,16078.0,81030.0,64952.0
WDN,NVD,14649.0,26961.0,12312.0
RAT,HNO,14649.0,26961.0,12312.0
NVD,RAT,14649.0,26961.0,12312.0
HNO,ZL,14649.0,26961.0,12312.0
RLB,BDPB,14516.0,65824.0,51308.0
VL,BR,13950.0,57785.0,43835.0
BKF,EKZ,13840.0,54000.0,40160.0
BKG,BKF,13840.0,54000.0,40160.0
HNK,HKS,13840.0,54000.0,40160.0
