,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats,Occupied Seats
146170,NS,2024-09-26,,908,0,1,RTD,BD,2,ICNG25,10,520,0
29268,NS,2024-09-26,,909,0,1,BD,RTD,2,ICNG25,13,676,0
81376,NS,2024-09-26,,911,0,1,BD,RTD,3,ICNG25,13,676,0
137216,NS,2024-09-26,,911,0,2,RTD,SHL,3,ICNG25,13,676,0
159231,NS,2024-09-26,,911,0,3,SHL,ASD,2,ICNG25,13,676,0
188132,NS,2024-09-26,,912,0,1,ASD,SHL,2,ICNG25,13,676,0
14593,NS,2024-09-26,,912,0,2,SHL,RTD,2,ICNG25,13,676,0
105908,NS,2024-09-26,,912,0,3,RTD,BD,2,ICNG25,13,676,0
183049,NS,2024-09-26,,913,0,1,BD,RTD,2,ICNG25,10,520,0
8079,NS,2024-09-26,,915,0,1,BD,RTD,2,ICNG25,10,520,0
124281,NS,2024-09-26,,915,0,2,RTD,SHL,3,ICNG25,10,520,0
132318,NS,2024-09-26,,915,0,3,SHL,ASD,2,ICNG25,10,520,0
150326,NS,2024-09-26,,916,0,1,ASD,SHL,3,ICNG25,10,520,0
3532,NS,2024-09-26,,916,0,2,SHL,RTD,3,ICNG25,10,520,0
68617,NS,2024-09-26,,916,0,3,RTD,BD,2,ICNG25,10,520,0
28285,NS,2024-09-26,,919,0,1,BD,RTD,2,ICNG25,10,520,0
198759,NS,2024-09-26,,919,0,2,RTD,SHL,2,ICNG25,10,520,0
161575,NS,2024-09-26,,919,0,3,SHL,ASD,2,ICNG25,10,520,0
11394,NS,2024-09-26,,920,0,1,ASD,SHL,2,ICNG25,10,520,0
14094,NS,2024-09-26,,920,0,2,SHL,RTD,2,ICNG25,10,520,0
45962,NS,2024-09-26,,920,0,3,RTD,BD,2,ICNG25,10,520,0
128372,NS,2024-09-26,,923,0,1,BD,RTD,2,ICNG25,13,676,0
33585,NS,2024-09-26,,923,0,2,RTD,SHL,2,ICNG25,13,676,0
20766,NS,2024-09-26,,923,0,3,SHL,ASD,2,ICNG25,13,676,0
98005,NS,2024-09-26,,924,0,1,ASD,SHL,2,ICNG25,10,520,0
845,NS,2024-09-26,,924,0,2,SHL,RTD,2,ICNG25,10,520,0
27080,NS,2024-09-26,,924,0,3,RTD,BD,2,ICNG25,10,520,0
49602,NS,2024-09-26,,927,0,1,BD,RTD,2,ICNG25,13,676,0
144237,NS,2024-09-26,,927,0,2,RTD,SHL,2,ICNG25,13,676,0
43704,NS,2024-09-26,,927,0,3,SHL,ASD,2,ICNG25,13,676,0
59173,NS,2024-09-26,,928,0,1,ASD,SHL,2,ICNG25,10,520,0
3858,NS,2024-09-26,,928,0,2,SHL,RTD,2,ICNG25,10,520,0
168452,NS,2024-09-26,,928,0,3,RTD,BD,2,ICNG25,10,520,0
123648,NS,2024-09-26,,931,0,1,BD,RTD,2,ICNG25,13,676,0
120182,NS,2024-09-26,,931,0,2,RTD,SHL,2,ICNG25,13,676,0
170687,NS,2024-09-26,,931,0,3,SHL,ASD,2,ICNG25,13,676,0
26850,NS,2024-09-26,,932,0,1,ASD,SHL,2,SW9-25KV,11,528,0
199367,NS,2024-09-26,,932,0,2,SHL,RTD,2,SW9-25KV,11,528,0
167868,NS,2024-09-26,,932,0,3,RTD,BD,2,SW9-25KV,11,528,0
81458,NS,2024-09-26,,935,0,1,BD,RTD,2,ICNG25,10,520,0
175157,NS,2024-09-26,,935,0,2,RTD,SHL,2,ICNG25,10,520,0
64153,NS,2024-09-26,,935,0,3,SHL,ASD,2,ICNG25,10,520,0
38062,NS,2024-09-26,,936,0,1,ASD,SHL,2,ICNG25,10,520,0
165685,NS,2024-09-26,,936,0,2,SHL,RTD,2,ICNG25,10,520,0
86054,NS,2024-09-26,,936,0,3,RTD,BD,2,ICNG25,10,520,0
19922,NS,2024-09-26,,939,0,1,BD,RTD,2,ICNG25,13,676,0
165212,NS,2024-09-26,,939,0,2,RTD,SHL,2,ICNG25,13,676,0
40350,NS,2024-09-26,,939,0,3,SHL,ASD,2,ICNG25,13,676,0
73280,NS,2024-09-26,,940,0,1,ASD,SHL,2,ICNG25,13,676,0
154407,NS,2024-09-26,,940,0,2,SHL,RTD,2,ICNG25,13,676,0
61373,NS,2024-09-26,,940,0,3,RTD,BD,2,ICNG25,13,676,0
59426,NS,2024-09-26,,943,0,1,BD,RTD,2,SW9-25KV,11,528,0
182102,NS,2024-09-26,,943,0,2,RTD,SHL,2,SW9-25KV,11,528,0
147583,NS,2024-09-26,,943,0,3,SHL,ASD,2,SW9-25KV,11,528,0
62985,NS,2024-09-26,,944,0,1,ASD,SHL,2,SW9-25KV,11,528,0
48257,NS,2024-09-26,,944,0,2,SHL,RTD,2,SW9-25KV,11,528,0
103897,NS,2024-09-26,,944,0,3,RTD,BD,2,SW9-25KV,11,528,0
65391,NS,2024-09-26,,947,0,1,BD,RTD,2,ICNG25,10,520,0
2098,NS,2024-09-26,,947,0,2,RTD,SHL,3,ICNG25,10,520,0
123943,NS,2024-09-26,,947,0,3,SHL,ASD,3,ICNG25,10,520,0
1632,NS,2024-09-26,,948,0,1,ASD,SHL,2,ICNG25,10,520,0
68714,NS,2024-09-26,,948,0,2,SHL,RTD,2,ICNG25,10,520,0
52133,NS,2024-09-26,,948,0,3,RTD,BD,2,ICNG25,10,520,0
166431,NS,2024-09-26,,950,0,1,RTD,BD,3,ICNG25,5,260,0
121229,NS,2024-09-26,,951,0,1,BD,RTD,2,ICNG25,13,676,0
131397,NS,2024-09-26,,951,0,2,RTD,SHL,2,ICNG25,13,676,0
55658,NS,2024-09-26,,951,0,3,SHL,ASD,2,ICNG25,13,676,0
26740,NS,2024-09-26,,952,0,1,ASD,SHL,2,ICNG25,10,520,0
51873,NS,2024-09-26,,952,0,2,SHL,RTD,3,ICNG25,10,520,0
199538,NS,2024-09-26,,952,0,3,RTD,BD,3,ICNG25,10,520,0
173126,NS,2024-09-26,,954,0,1,RTD,BD,2,ICNG25,13,676,0
111291,NS,2024-09-26,,955,0,1,BD,RTD,2,SW9-25KV,11,528,0
60086,NS,2024-09-26,,955,0,2,RTD,SHL,2,SW9-25KV,11,528,0
157372,NS,2024-09-26,,955,0,3,SHL,ASD,2,SW9-25KV,11,528,0
97209,NS,2024-09-26,,956,0,1,ASD,SHL,2,SW9-25KV,11,528,0
193018,NS,2024-09-26,,956,0,2,SHL,RTD,3,SW9-25KV,11,528,0
167569,NS,2024-09-26,,956,0,3,RTD,BD,2,SW9-25KV,11,528,0
194074,NS,2024-09-26,,959,0,1,BD,RTD,2,SW9-25KV,11,528,0
17931,NS,2024-09-26,,959,0,2,RTD,SHL,2,SW9-25KV,11,528,0
61668,NS,2024-09-26,,959,0,3,SHL,ASD,2,SW9-25KV,11,528,0
160699,NS,2024-09-26,,960,0,1,ASD,SHL,2,ICNG25,10,520,0
45458,NS,2024-09-26,,960,0,2,SHL,RTD,3,ICNG25,10,520,0
97842,NS,2024-09-26,,960,0,3,RTD,BD,2,ICNG25,10,520,0
82738,NS,2024-09-26,,963,0,1,BD,RTD,2,ICNG25,10,520,0
130461,NS,2024-09-26,,963,0,2,RTD,SHL,2,ICNG25,10,520,0
40505,NS,2024-09-26,,963,0,3,SHL,ASD,2,ICNG25,10,520,0
8695,NS,2024-09-26,,964,0,1,ASD,SHL,2,ICNG25,10,520,0
160175,NS,2024-09-26,,964,0,2,SHL,RTD,2,ICNG25,10,520,0
50024,NS,2024-09-26,,964,0,3,RTD,BD,2,ICNG25,10,520,0
88906,NS,2024-09-26,,967,0,1,BD,RTD,2,ICNG25,8,416,0
109979,NS,2024-09-26,,967,0,2,RTD,SHL,2,ICNG25,8,416,0
192235,NS,2024-09-26,,967,0,3,SHL,ASD,2,ICNG25,8,416,0
160926,NS,2024-09-26,,968,0,1,ASD,SHL,2,ICNG25,8,416,0
109426,NS,2024-09-26,,968,0,2,SHL,RTD,2,ICNG25,8,416,0
52256,NS,2024-09-26,,968,0,3,RTD,BD,2,ICNG25,8,416,0
63805,NS,2024-09-26,,971,0,1,BD,RTD,2,SW9-25KV,11,528,0
42133,NS,2024-09-26,,971,0,2,RTD,SHL,2,SW9-25KV,11,528,0
32799,NS,2024-09-26,,971,0,3,SHL,ASD,2,SW9-25KV,11,528,0
130434,NS,2024-09-26,,972,0,1,ASD,SHL,2,SW9-25KV,11,528,0
196054,NS,2024-09-26,,972,0,2,SHL,RTD,2,SW9-25KV,11,528,0
107599,NS,2024-09-26,,972,0,3,RTD,BD,2,SW9-25KV,11,528,0
42988,NS,2024-09-26,,976,0,1,ASD,SHL,3,ICNG25,10,520,0
161436,NS,2024-09-26,,976,0,2,SHL,RTD,3,ICNG25,10,520,0
103825,NS,2024-09-26,,978,0,1,RTD,BD,2,SW9-25KV,11,528,0
64432,NS,2024-09-27,,907,0,1,BD,RTD,2,ICNG25,13,676,0
196243,NS,2024-09-27,,907,0,2,RTD,SHL,3,ICNG25,13,676,0
177347,NS,2024-09-27,,907,0,3,SHL,ASD,2,ICNG25,13,676,0
128731,NS,2024-09-27,,908,0,1,RTD,BD,2,ICNG25,13,676,0
126854,NS,2024-09-27,,911,0,1,BD,RTD,2,SW9-25KV,11,528,0
107297,NS,2024-09-27,,911,0,2,RTD,SHL,2,SW9-25KV,11,528,0
61894,NS,2024-09-27,,911,0,3,SHL,ASD,2,SW9-25KV,11,528,0
116974,NS,2024-09-27,,912,0,1,ASD,SHL,2,SW9-25KV,11,528,0
16023,NS,2024-09-27,,912,0,2,SHL,RTD,2,SW9-25KV,11,528,0
17259,NS,2024-09-27,,912,0,3,RTD,BD,2,SW9-25KV,11,528,0
91125,NS,2024-09-27,,915,0,1,BD,RTD,2,SW9-25KV,11,528,0
75138,NS,2024-09-27,,915,0,2,RTD,SHL,2,SW9-25KV,11,528,0
97899,NS,2024-09-27,,915,0,3,SHL,ASD,2,SW9-25KV,11,528,0
140904,NS,2024-09-27,,916,0,1,ASD,SHL,2,SW9-25KV,11,528,0
206541,NS,2024-09-27,,916,0,2,SHL,RTD,2,SW9-25KV,11,528,0
155578,NS,2024-09-27,,916,0,3,RTD,BD,2,SW9-25KV,11,528,0
132782,NS,2024-09-27,,919,0,1,BD,RTD,2,ICNG25,13,676,0
175665,NS,2024-09-27,,919,0,2,RTD,SHL,2,ICNG25,13,676,0
124274,NS,2024-09-27,,919,0,3,SHL,ASD,2,ICNG25,13,676,0
2171,NS,2024-09-27,,920,0,1,ASD,SHL,2,ICNG25,13,676,0
129062,NS,2024-09-27,,920,0,2,SHL,RTD,2,ICNG25,13,676,0
10713,NS,2024-09-27,,920,0,3,RTD,BD,2,ICNG25,13,676,0
145450,NS,2024-09-27,,923,0,1,BD,RTD,2,ICNG25,13,676,0
204081,NS,2024-09-27,,923,0,2,RTD,SHL,2,ICNG25,13,676,0
2555,NS,2024-09-27,,923,0,3,SHL,ASD,2,ICNG25,13,676,0
49180,NS,2024-09-27,,924,0,1,ASD,SHL,2,ICNG25,13,676,0
193612,NS,2024-09-27,,924,0,2,SHL,RTD,2,ICNG25,13,676,0
27840,NS,2024-09-27,,924,0,3,RTD,BD,2,ICNG25,13,676,0
28659,NS,2024-09-27,,927,0,1,BD,RTD,2,SW9-25KV,11,528,0
148884,NS,2024-09-27,,927,0,2,RTD,SHL,2,SW9-25KV,11,528,0
58546,NS,2024-09-27,,927,0,3,SHL,ASD,2,SW9-25KV,11,528,0
109245,NS,2024-09-27,,928,0,1,ASD,SHL,2,SW9-25KV,11,528,0
27687,NS,2024-09-27,,928,0,2,SHL,RTD,2,SW9-25KV,11,528,0
55615,NS,2024-09-27,,928,0,3,RTD,BD,2,SW9-25KV,11,528,0
60880,NS,2024-09-27,,931,0,1,BD,RTD,2,ICNG25,13,676,0
82306,NS,2024-09-27,,931,0,2,RTD,SHL,2,ICNG25,13,676,0
81377,NS,2024-09-27,,931,0,3,SHL,ASD,2,ICNG25,13,676,0
91832,NS,2024-09-27,,932,0,1,ASD,SHL,2,ICNG25,13,676,0
49651,NS,2024-09-27,,932,0,2,SHL,RTD,2,ICNG25,13,676,0
19482,NS,2024-09-27,,932,0,3,RTD,BD,2,ICNG25,13,676,0
153076,NS,2024-09-27,,935,0,1,BD,RTD,2,ICNG25,13,676,0
167008,NS,2024-09-27,,935,0,2,RTD,SHL,2,ICNG25,13,676,0
68015,NS,2024-09-27,,935,0,3,SHL,ASD,2,ICNG25,13,676,0
65762,NS,2024-09-27,,936,0,1,ASD,SHL,2,ICNG25,13,676,0
85298,NS,2024-09-27,,936,0,2,SHL,RTD,2,ICNG25,13,676,0
67278,NS,2024-09-27,,936,0,3,RTD,BD,2,ICNG25,13,676,0
123941,NS,2024-09-27,,939,0,1,BD,RTD,2,SW9-25KV,11,528,0
199801,NS,2024-09-27,,939,0,2,RTD,SHL,2,SW9-25KV,11,528,0
153206,NS,2024-09-27,,939,0,3,SHL,ASD,2,SW9-25KV,11,528,0
167345,NS,2024-09-27,,940,0,1,ASD,SHL,2,SW9-25KV,11,528,0
146504,NS,2024-09-27,,940,0,2,SHL,RTD,2,SW9-25KV,11,528,0
80390,NS,2024-09-27,,940,0,3,RTD,BD,2,SW9-25KV,11,528,0
115091,NS,2024-09-27,,943,0,1,BD,RTD,2,ICNG25,13,676,0
135534,NS,2024-09-27,,943,0,2,RTD,SHL,2,ICNG25,13,676,0
27309,NS,2024-09-27,,943,0,3,SHL,ASD,2,ICNG25,13,676,0
15565,NS,2024-09-27,,944,0,1,ASD,SHL,2,ICNG25,10,520,0
70200,NS,2024-09-27,,944,0,2,SHL,RTD,2,ICNG25,10,520,0
173681,NS,2024-09-27,,944,0,3,RTD,BD,2,ICNG25,10,520,0
138262,NS,2024-09-27,,947,0,1,BD,RTD,2,ICNG25,13,676,0
8693,NS,2024-09-27,,947,0,2,RTD,SHL,2,ICNG25,13,676,0
45449,NS,2024-09-27,,947,0,3,SHL,ASD,2,ICNG25,13,676,0
59235,NS,2024-09-27,,948,0,1,ASD,SHL,2,ICNG25,13,676,0
172254,NS,2024-09-27,,948,0,2,SHL,RTD,2,ICNG25,13,676,0
59422,NS,2024-09-27,,948,0,3,RTD,BD,2,ICNG25,13,676,0
72515,NS,2024-09-27,,951,0,1,BD,RTD,2,ICNG25,10,520,0
160324,NS,2024-09-27,,951,0,2,RTD,SHL,3,ICNG25,10,520,0
101996,NS,2024-09-27,,951,0,3,SHL,ASD,3,ICNG25,10,520,0
119215,NS,2024-09-27,,952,0,1,ASD,SHL,2,SW9-25KV,11,528,0
47079,NS,2024-09-27,,952,0,2,SHL,RTD,2,SW9-25KV,11,528,0
24505,NS,2024-09-27,,952,0,3,RTD,BD,2,SW9-25KV,11,528,0
92718,NS,2024-09-27,,955,0,1,BD,RTD,2,ICNG25,13,676,0
163849,NS,2024-09-27,,955,0,2,RTD,SHL,2,ICNG25,13,676,0
192414,NS,2024-09-27,,955,0,3,SHL,ASD,2,ICNG25,13,676,0
124225,NS,2024-09-27,,956,0,1,ASD,SHL,2,ICNG25,13,676,0
53218,NS,2024-09-27,,956,0,2,SHL,RTD,2,ICNG25,13,676,0
66173,NS,2024-09-27,,956,0,3,RTD,BD,2,ICNG25,13,676,0
156183,NS,2024-09-27,,959,0,1,BD,RTD,2,ICNG25,10,520,0
197438,NS,2024-09-27,,959,0,2,RTD,SHL,2,ICNG25,10,520,0
8114,NS,2024-09-27,,959,0,3,SHL,ASD,2,ICNG25,10,520,0
13779,NS,2024-09-27,,960,0,1,ASD,SHL,2,ICNG25,10,520,0
174878,NS,2024-09-27,,960,0,2,SHL,RTD,2,ICNG25,10,520,0
26248,NS,2024-09-27,,960,0,3,RTD,BD,2,ICNG25,10,520,0
126785,NS,2024-09-27,,963,0,1,BD,RTD,2,ICNG25,10,520,0
53313,NS,2024-09-27,,963,0,2,RTD,SHL,2,ICNG25,10,520,0
112141,NS,2024-09-27,,963,0,3,SHL,ASD,2,ICNG25,10,520,0
157108,NS,2024-09-27,,964,0,1,ASD,SHL,2,ICNG25,10,520,0
29980,NS,2024-09-27,,964,0,2,SHL,RTD,2,ICNG25,10,520,0
148248,NS,2024-09-27,,964,0,3,RTD,BD,2,ICNG25,10,520,0
189130,NS,2024-09-27,,967,0,1,BD,RTD,2,ICNG25,13,676,0
77995,NS,2024-09-27,,967,0,2,RTD,SHL,2,ICNG25,13,676,0
99978,NS,2024-09-27,,967,0,3,SHL,ASD,2,ICNG25,13,676,0
152572,NS,2024-09-27,,968,0,1,ASD,SHL,2,ICNG25,13,676,0
178589,NS,2024-09-27,,968,0,2,SHL,RTD,2,ICNG25,13,676,0
66219,NS,2024-09-27,,968,0,3,RTD,BD,2,ICNG25,13,676,0
86323,NS,2024-09-27,,971,0,1,BD,RTD,2,SW9-25KV,11,528,0
143122,NS,2024-09-27,,971,0,2,RTD,SHL,2,SW9-25KV,11,528,0
14581,NS,2024-09-27,,971,0,3,SHL,ASD,2,SW9-25KV,11,528,0
145690,NS,2024-09-27,,972,0,1,ASD,SHL,2,ICNG25,10,520,0
14641,NS,2024-09-27,,972,0,2,SHL,RTD,2,ICNG25,10,520,0
126169,NS,2024-09-27,,972,0,3,RTD,BD,2,ICNG25,10,520,0
117687,NS,2024-09-27,,976,0,1,ASD,SHL,3,ICNG25,10,520,0
87518,NS,2024-09-27,,976,0,2,SHL,RTD,3,ICNG25,10,520,0
109773,NS,2024-09-27,,978,0,1,RTD,BD,2,ICNG25,10,520,0
