,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats,Occupied Seats
13118,NS,2024-09-23,,948,0,3,RTD,BD,2,ICNG25,13,676,0
208060,NS,2024-09-23,,950,0,1,RTD,BD,2,ICNG25,10,520,0
172587,NS,2024-09-23,,951,0,1,BD,RTD,2,SW9-25KV,11,528,0
142984,NS,2024-09-23,,951,0,2,RTD,SHL,2,SW9-25KV,11,528,0
181168,NS,2024-09-23,,951,0,3,SHL,ASD,2,SW9-25KV,11,528,0
130835,NS,2024-09-23,,952,0,1,ASD,SHL,2,SW9-25KV,11,528,0
137632,NS,2024-09-23,,952,0,2,SHL,RTD,2,SW9-25KV,11,528,0
12433,NS,2024-09-23,,952,0,3,RTD,BD,2,SW9-25KV,11,528,0
151074,NS,2024-09-23,,954,0,1,RTD,BD,2,ICNG25,10,520,0
194290,NS,2024-09-23,,955,0,1,BD,RTD,2,SW7-25KV,9,432,0
31491,NS,2024-09-23,,955,0,2,RTD,SHL,2,SW7-25KV,9,432,0
163229,NS,2024-09-23,,955,0,3,SHL,ASD,2,SW7-25KV,9,432,0
90195,NS,2024-09-23,,956,0,1,ASD,SHL,3,SW7-25KV,9,432,0
178508,NS,2024-09-23,,956,0,2,SHL,RTD,3,SW7-25KV,9,432,0
80102,NS,2024-09-23,,956,0,3,RTD,BD,2,SW7-25KV,9,432,0
112379,NS,2024-09-23,,959,0,1,BD,RTD,2,ICNG25,13,676,0
159184,NS,2024-09-23,,959,0,2,RTD,SHL,2,ICNG25,13,676,0
157377,NS,2024-09-23,,959,0,3,SHL,ASD,2,ICNG25,13,676,0
207787,NS,2024-09-23,,960,0,1,ASD,SHL,2,ICNG25,13,676,0
23540,NS,2024-09-23,,960,0,2,SHL,RTD,2,ICNG25,13,676,0
187840,NS,2024-09-23,,960,0,3,RTD,BD,2,ICNG25,13,676,0
95142,NS,2024-09-23,,963,0,1,BD,RTD,2,SW9-25KV,11,528,0
148319,NS,2024-09-23,,963,0,2,RTD,SHL,2,SW9-25KV,11,528,0
69548,NS,2024-09-23,,963,0,3,SHL,ASD,2,SW9-25KV,11,528,0
152399,NS,2024-09-23,,964,0,1,ASD,SHL,2,SW9-25KV,11,528,0
121920,NS,2024-09-23,,964,0,2,SHL,RTD,2,SW9-25KV,11,528,0
78429,NS,2024-09-23,,964,0,3,RTD,BD,2,SW9-25KV,11,528,0
143294,NS,2024-09-23,,967,0,1,BD,RTD,2,SW9-25KV,11,528,0
9848,NS,2024-09-23,,967,0,2,RTD,SHL,2,SW9-25KV,11,528,0
145600,NS,2024-09-23,,967,0,3,SHL,ASD,2,SW9-25KV,11,528,0
7860,NS,2024-09-23,,968,0,1,ASD,SHL,2,SW9-25KV,11,528,0
35008,NS,2024-09-23,,968,0,2,SHL,RTD,2,SW9-25KV,11,528,0
89419,NS,2024-09-23,,968,0,3,RTD,BD,2,SW9-25KV,11,528,0
36011,NS,2024-09-23,,971,0,1,BD,RTD,2,ICNG25,13,676,0
53445,NS,2024-09-23,,971,0,2,RTD,SHL,2,ICNG25,13,676,0
11998,NS,2024-09-23,,971,0,3,SHL,ASD,2,ICNG25,13,676,0
95742,NS,2024-09-23,,972,0,1,ASD,SHL,2,ICNG25,13,676,0
155864,NS,2024-09-23,,972,0,2,SHL,RTD,2,ICNG25,13,676,0
131577,NS,2024-09-23,,972,0,3,RTD,BD,2,ICNG25,13,676,0
63192,NS,2024-09-23,,976,0,1,ASD,SHL,2,SW9-25KV,11,528,0
151289,NS,2024-09-23,,976,0,2,SHL,RTD,2,SW9-25KV,11,528,0
30661,NS,2024-09-23,,978,0,1,RTD,BD,2,SW9-25KV,11,528,0
25448,NS,2024-09-24,,907,0,1,BD,RTD,2,ICNG25,13,676,0
16408,NS,2024-09-24,,907,0,2,RTD,SHL,4,ICNG25,13,676,0
26459,NS,2024-09-24,,907,0,3,SHL,ASD,3,ICNG25,13,676,0
125442,NS,2024-09-24,,908,0,1,RTD,BD,2,SW9-25KV,11,528,0
123709,NS,2024-09-24,,909,0,1,BD,RTD,2,ICNG25,10,520,0
175480,NS,2024-09-24,,911,0,1,BD,RTD,3,ICNG25,13,676,0
133966,NS,2024-09-24,,911,0,2,RTD,SHL,3,ICNG25,13,676,0
189807,NS,2024-09-24,,911,0,3,SHL,ASD,2,ICNG25,13,676,0
86986,NS,2024-09-24,,912,0,1,ASD,SHL,2,ICNG25,10,520,0
154047,NS,2024-09-24,,912,0,2,SHL,RTD,2,ICNG25,10,520,0
90537,NS,2024-09-24,,913,0,1,BD,RTD,2,ICNG25,10,520,0
3134,NS,2024-09-24,,915,0,1,BD,RTD,2,ICNG25,10,520,0
97483,NS,2024-09-24,,915,0,2,RTD,SHL,3,ICNG25,10,520,0
172893,NS,2024-09-24,,915,0,3,SHL,ASD,2,ICNG25,10,520,0
80437,NS,2024-09-24,,916,0,1,ASD,SHL,2,ICNG25,13,676,0
72009,NS,2024-09-24,,916,0,2,SHL,RTD,2,ICNG25,13,676,0
40824,NS,2024-09-24,,916,0,3,RTD,BD,2,ICNG25,13,676,0
110342,NS,2024-09-24,,919,0,1,BD,RTD,2,SW9-25KV,11,528,0
117693,NS,2024-09-24,,919,0,2,RTD,SHL,2,SW9-25KV,11,528,0
116417,NS,2024-09-24,,919,0,3,SHL,ASD,2,SW9-25KV,11,528,0
48185,NS,2024-09-24,,920,0,1,ASD,SHL,2,ICNG25,13,676,0
129516,NS,2024-09-24,,920,0,2,SHL,RTD,2,ICNG25,13,676,0
26880,NS,2024-09-24,,920,0,3,RTD,BD,2,ICNG25,13,676,0
60021,NS,2024-09-24,,923,0,1,BD,RTD,2,ICNG25,10,520,0
181651,NS,2024-09-24,,923,0,2,RTD,SHL,2,ICNG25,10,520,0
33455,NS,2024-09-24,,923,0,3,SHL,ASD,2,ICNG25,10,520,0
66188,NS,2024-09-24,,924,0,1,ASD,SHL,2,ICNG25,10,520,0
83129,NS,2024-09-24,,924,0,2,SHL,RTD,2,ICNG25,10,520,0
64198,NS,2024-09-24,,924,0,3,RTD,BD,2,ICNG25,10,520,0
6706,NS,2024-09-24,,927,0,1,BD,RTD,2,ICNG25,10,520,0
