From,To,Difference,Maximum seats,Minimum seats
Vught,'s-Hertogenbosch,50635.0,132643.0,82008.0
Den Haag HS,Den Haag Laan v NOI,49725.0,105725.0,56000.0
Hoofddorp,Nieuw Vennep,47475.0,147975.0,100500.0
Sassenheim,Leiden Centraal,47475.0,147975.0,100500.0
Nieuw Vennep,Sassenheim,47475.0,147975.0,100500.0
Vlissingen Souburg,Vlissingen,47350.0,54200.0,6850.0
Rilland-Bath,Krabbendijke,47350.0,54200.0,6850.0
Bergen op Zoom,Rilland-Bath,47350.0,54200.0,6850.0
Arnemuiden,Middelburg,47350.0,54200.0,6850.0
Kapelle-Biezelinge,Goes,47350.0,54200.0,6850.0
Goes,Arnemuiden,47350.0,54200.0,6850.0
Middelburg,Vlissingen Souburg,47350.0,54200.0,6850.0
Krabbendijke,Kruiningen-Yerseke,47350.0,54200.0,6850.0
Kruiningen-Yerseke,Kapelle-Biezelinge,47350.0,54200.0,6850.0
Castricum,Heiloo,47260.0,115876.0,68616.0
Heiloo,Alkmaar,47260.0,115876.0,68616.0
Uitgeest,Castricum,47260.0,115876.0,68616.0
Roosendaal,Bergen op Zoom,46750.0,54200.0,7450.0
Groningen,Groningen Europapark,46748.0,78648.0,31900.0
Amsterdam Lelylaan,Schiphol Airport,46021.0,134631.0,88610.0
Amsterdam Sloterdijk,Amsterdam Lelylaan,46021.0,134631.0,88610.0
Oosterbeek,Wolfheze,45688.0,107612.0,61924.0
Wolfheze,Ede-Wageningen,45688.0,107612.0,61924.0
Arnhem Centraal,Oosterbeek,45688.0,107612.0,61924.0
Almere Buiten,Almere Parkwijk,45226.0,108584.0,63358.0
Almere Parkwijk,Almere Centrum,45226.0,108584.0,63358.0
Almere Oostvaarders,Almere Buiten,45226.0,108584.0,63358.0
Veenendaal-De Klomp,Maarn,41800.0,96800.0,55000.0
Amsterdam Bijlmer ArenA,Amsterdam RAI,41680.0,93280.0,51600.0
Ede-Wageningen,Veenendaal-De Klomp,41400.0,96800.0,55400.0
Rotterdam Noord,Rotterdam Centraal,40612.0,108949.0,68337.0
Rotterdam Alexander,Rotterdam Noord,40612.0,108949.0,68337.0
Gilze-Rijen,Breda,39869.0,109848.0,69979.0
Tilburg Reeshof,Gilze-Rijen,39869.0,109848.0,69979.0
Tilburg Universiteit,Tilburg Reeshof,39869.0,109848.0,69979.0
Zwolle,Wezep,39151.0,79161.0,40010.0
Wezep,'t Harde,39151.0,79161.0,40010.0
't Harde,Nunspeet,39151.0,79161.0,40010.0
Nunspeet,Harderwijk,39151.0,79161.0,40010.0
Harderwijk,Ermelo,39151.0,79161.0,40010.0
Nijkerk,Amersfoort Vathorst,39151.0,79161.0,40010.0
Ermelo,Putten,39151.0,79161.0,40010.0
Putten,Nijkerk,39151.0,79161.0,40010.0
Nieuwerkerk a/d IJssel,Capelle Schollevaar,38887.0,108949.0,70062.0
Capelle Schollevaar,Rotterdam Alexander,38887.0,108949.0,70062.0
Gouda,Nieuwerkerk a/d IJssel,38887.0,108949.0,70062.0
Schiedam Centrum,Delft Campus,36665.0,199069.0,162404.0
Rotterdam Centraal,Schiedam Centrum,35665.0,199219.0,163554.0
Meppel,Zwolle,35140.0,107040.0,71900.0
Wijchen,Nijmegen Dukenburg,34490.0,78528.0,44038.0
Nijmegen Goffert,Nijmegen,34490.0,78528.0,44038.0
Nijmegen Dukenburg,Nijmegen Goffert,34490.0,78528.0,44038.0
Boxtel,Oisterwijk,34354.0,68264.0,33910.0
