From,To,Seats
Daarlerveen,Vriezenveen,24830
Vroomshoop,Daarleveen,24830
Marienberg,Vroomshoop,24830
Vriezenveen,Almelo,24830
Windschoten,Bad Nieuweschans,26685
Zuidbroek,Veendam,27180
Eemshaven,Roodeschool,28260
Hindeloopen,Workum,36666
Koudum,Hindeloopen,36666
Workum,IJlst,36666
