,From,To,Seats
213,OW,O,65400.0
214,O,RVS,64128.0
215,RVS,WC,64128.0
216,WC,NMD,75770.0
217,NMD,NMGO,75770.0
218,NMGO,NM,75770.0
219,AH,AHP,67270.0
220,AHP,AHPR,55660.0
221,AHPR,VP,55660.0
222,VP,RH,55660.0
223,RH,DR,55660.0
224,DR,BMN,55660.0
225,BMN,ZP,55660.0
226,ZP,DV,40600.0
227,DV,OST,40600.0
228,OST,WH,40600.0
229,WH,ZL,40600.0
230,HRL,HB,43520.0
231,HB,NH,43520.0
232,NH,SN,43520.0
233,SN,SBK,43520.0
234,SBK,GLN,43520.0
235,GLN,STD,43520.0
236,WD,BKL,37584.0
237,HN,OBD,31536.0
238,OBD,HWD,31536.0
239,UTG,HK,35268.0
240,HK,BV,35268.0
241,BV,DRH,35268.0
242,DRH,SPTN,35268.0
243,SPTN,SPTZ,35268.0
244,SPTZ,BLL,35268.0
245,BLL,HLM,35268.0
246,UT,UTO,118088.0
247,UTO,HOR,49826.0
248,HOR,HVSP,49502.0
249,HVSP,HVS,49826.0
250,NDB,AMPO,25354.0
251,ZVT,OVN,34512.0
252,OVN,HLM,34512.0
253,BRN,SD,21060.0
254,SD,ST,21060.0
255,ST,STZ,21060.0
256,STZ,DLD,21060.0
257,DLD,BHV,55836.0
258,BHV,UTO,55836.0
259,AMF,DLD,25560.0
260,ZLW,BDPB,25788.0
261,TL,TPSW,26460.0
262,TPSW,GDM,26460.0
263,RHN,VNDC,26356.0
264,VNDC,VNDW,26356.0
265,VNDW,MRN,26356.0
266,WD,BDG,42876.0
267,BDG,APN,42876.0
268,APN,LDL,43416.0
269,LDL,LEDN,43416.0
270,RTD,GD,1000.0
271,ES,ESK,30985.0
272,ESK,HGL,30985.0
273,HGL,BN,30985.0
274,BN,AMRI,30985.0
275,AMRI,AML,30985.0
276,EMN,EMNZ,6930.0
277,EMNZ,NA,6930.0
278,NA,DLN,6930.0
279,DLN,CO,6930.0
280,CO,GBG,8820.0
281,GBG,HDB,8820.0
282,HDB,MRB,12200.0
283,MRB,OMN,8820.0
284,OMN,DL,8820.0
285,DL,ZL,8820.0
286,ZP,VEM,8370.0
287,VEM,KBK,8370.0
288,KBK,APDM,8370.0
289,APDM,APD,8370.0
290,AHBF,AW,9063.0
291,AW,HZ,9063.0
292,HZ,EGHM,9063.0
293,EGHM,LG,9063.0
294,LG,HRL,15903.0
295,HRL,HRLW,15552.0
296,HRLW,VDL,15552.0
297,VDL,KMR,15552.0
298,KMR,SOG,15552.0
299,SOG,VK,15552.0
300,VK,SGL,15552.0
301,SGL,MES,15552.0
302,MES,MTN,15552.0
303,MTN,MT,15552.0
304,MT,MTR,22449.0
305,MTR,EDN,5301.0
306,EDN,FVS,5301.0
307,FVS,BRESSX,5301.0
308,BRESSX,LUIK,5301.0
309,GERP,KW,15120.0
310,KW,MTH,15120.0
311,MTH,HGZ,15120.0
312,HGZ,ZB,15120.0
313,ZB,SDA,9630.0
314,SDA,WS,9630.0
315,WS,NSCH,5355.0
316,WW,WWW,8370.0
317,WWW,LTV,8370.0
318,LTV,RL,8370.0
319,RL,VD,8370.0
320,VD,ZP,8370.0
321,WW,ATN,11610.0
322,ATN,VSV,11610.0
323,VSV,TBG,11610.0
324,TBG,GDR,11610.0
325,GDR,DTC,11610.0
326,DTC,DTCH,11610.0
327,DTCH,WL,11610.0
328,WL,DID,11610.0
329,DID,ZV,11610.0
330,ZV,DVN,11610.0
331,DVN,WTV,11610.0
332,WTV,AHP,11610.0
333,MRB,VHP,3900.0
334,VHP,DA,3900.0
335,DA,VZ,3900.0
336,VZ,AML,3900.0
337,EST,ZA,6210.0
338,ZA,HMN,6210.0
339,HMN,OP,6210.0
340,OP,KTR,6210.0
341,KTR,TL,6210.0
342,ODZ,HGLO,11700.0
343,HGLO,HGL,11700.0
344,HGL,HGLG,11310.0
345,HGLG,DDN,11310.0
346,DDN,GO,11310.0
347,GO,LC,11310.0
348,LC,ZP,11310.0
349,LG,EGH,6840.0
350,EGH,CVM,6840.0
351,CVM,KRD,6840.0
352,RM,SM,12195.0
353,SM,RV,12195.0
354,RV,TG,12195.0
355,TG,VL,12195.0
356,BR,VRY,13320.0
357,VRY,VLB,15255.0
358,VLB,BMR,15255.0
359,BMR,CK,15255.0
360,CK,MMLH,15255.0
361,MMLH,NMH,15255.0
