,From,To,Seats
211,ASB,RAI,551030.0
212,VL,BR,290400.0
213,BR,HRT,290400.0
214,HRT,DN,290400.0
215,DN,HMBH,290400.0
216,HMBH,HM,291248.0
217,HM,HMH,291248.0
218,HMH,HMBV,291248.0
219,HMBV,EHV,291248.0
220,RSD,ETN,206200.0
221,ETN,BD,206200.0
222,TB,HT,268000.0
223,HT,HTO,260600.0
224,HTO,RS,260600.0
225,RS,OW,260600.0
226,OW,O,260600.0
227,O,RVS,260600.0
228,RVS,WC,260600.0
229,WC,NMD,260600.0
230,NMD,NMGO,260600.0
231,NMGO,NM,260600.0
232,AH,AHP,270800.0
233,AHP,AHPR,270800.0
234,AHPR,VP,270800.0
235,VP,RH,270800.0
236,RH,DR,270800.0
237,DR,BMN,270400.0
238,BMN,ZP,270400.0
239,ZP,DV,266600.0
240,DV,OST,266600.0
241,OST,WH,266600.0
242,WH,ZL,266600.0
243,HRL,HB,215400.0
244,HB,NH,215400.0
245,NH,SN,215400.0
246,SN,SBK,215400.0
247,SBK,GLN,215400.0
248,GLN,STD,215400.0
249,GD,RTD,1300.0
250,UTO,HOR,2100.0
251,HOR,HVSP,2100.0
252,HVSP,HVS,2100.0
253,BDPB,ZLW,1918.0
254,UT,RTD,1600.0
255,HT,EHV,3024.0
256,AHBF,AW,65835.0
257,AW,HZ,65835.0
258,HZ,EGHM,65835.0
259,EGHM,LG,65835.0
260,LG,HRL,65835.0
261,HRL,HRLW,64296.0
262,HRLW,VDL,64296.0
263,VDL,KMR,64296.0
264,KMR,SOG,64296.0
265,SOG,VK,64296.0
266,VK,SGL,64296.0
267,SGL,MES,64296.0
268,MES,MTN,64296.0
269,MTN,MT,64296.0
270,MT,MTR,39330.0
271,MTR,EDN,39330.0
272,EDN,FVS,39330.0
273,FVS,BRESSX,39330.0
274,BRESSX,LUIK,39330.0
275,LW,LWC,70254.0
276,LWC,HDG,70254.0
277,HDG,FWD,70254.0
278,FWD,DWE,70254.0
279,DWE,BP,70254.0
280,BP,GK,70254.0
281,GK,ZH,70254.0
282,ZH,GN,70254.0
283,WDN,NVD,7752.0
284,NVD,RAT,38760.0
285,RAT,HNO,38760.0
286,HNO,ZL,38760.0
