,From,To,Seats
365,BMR,CK,94185.0
366,CK,MMLH,94185.0
367,MMLH,NMH,94185.0
368,NMH,NM,94185.0
369,SK,SKND,62973.0
370,SKND,MG,62973.0
371,MG,LW,62973.0
372,STV,KMW,36666.0
373,KMW,HNP,36666.0
374,HNP,WK,36666.0
375,WK,IJT,36666.0
376,IJT,SK,36666.0
377,HLGH,HLG,53190.0
378,HLG,FN,53190.0
379,FN,DRP,53190.0
380,DRP,DEI,53190.0
381,DEI,LW,53190.0
382,LW,LWC,142416.0
383,LWC,HDG,142416.0
384,HDG,FWD,142416.0
385,FWD,DWE,142416.0
386,DWE,BP,142416.0
387,BP,GK,142416.0
388,GK,ZH,142416.0
389,ZH,GN,146484.0
390,EEM,RD,28260.0
391,RD,UHM,62820.0
392,UHM,UHZ,62820.0
393,UHZ,UST,62820.0
394,UST,WFM,62820.0
395,WFM,BF,62820.0
396,BF,WSM,62820.0
397,WSM,SWD,62820.0
398,SWD,GNN,121050.0
399,GNN,GN,121050.0
400,DZ,DZW,58230.0
401,DZW,APG,58230.0
402,APG,LP,58230.0
403,LP,STM,58230.0
404,STM,BDM,58230.0
405,BDM,SWD,58230.0
406,ZB,VDM,27180.0
407,GR,BHDV,116685.0
408,BHDV,GND,116685.0
409,GND,HBZM,116685.0
410,HBZM,SDT,116685.0
411,SDT,SDTB,116685.0
412,SDTB,DDRS,116685.0
413,DDRS,DDR,116685.0
414,GDM,BSD,64530.0
415,BSD,LDM,64530.0
416,LDM,AKL,64530.0
417,AKL,GR,64530.0
418,WDN,NVD,51699.0
419,NVD,RAT,151506.0
420,RAT,HNO,155895.0
421,HNO,ZL,155895.0
422,KPN,ZLSH,138453.0
423,ZLSH,ZL,138453.0
424,ED,EDC,91998.0
425,EDC,LTN,91998.0
426,LTN,BNZ,91998.0
427,BNZ,BNC,156294.0
428,BNC,BNN,156294.0
429,BNN,HVL,156294.0
