,index,From,To,Seats,geometry,color
10,202,DVC,DV,23700.0,"LINESTRING (6.21444 52.25031, 6.20985 52.25017, 6.20837 52.25014, 6.2069 52.25017, 6.20399 52.25029, 6.20107 52.25041, 6.20028 52.25049, 6.19923 52.25066, 6.19877 52.25077, 6.19789 52.25105, 6.1974 52.25124, 6.19705 52.2514, 6.1965 52.25171, 6.19599 52.25204, 6.19506 52.25274, 6.19457 52.25313, 6.19329 52.25417, 6.19237 52.25487, 6.19187 52.2552, 6.19135 52.25552, 6.1908 52.25581, 6.19022 52.25609, 6.18963 52.25635, 6.18901 52.2566, 6.18773 52.25703, 6.18639 52.25739, 6.18499 52.25767, 6.18428 52.25777, 6.18355 52.25783, 6.18282 52.25787, 6.18209 52.25787, 6.1799 52.25779, 6.17917 52.25774, 6.17844 52.25767, 6.17773 52.25756, 6.17088 52.2559, 6.16944 52.25566, 6.16799 52.25559, 6.16653 52.25573, 6.1651 52.2559, 6.16294 52.25639, 6.16045 52.2574)","[1.0, 0.9803921568627451, 0.0]"
11,198,AML,WDN,23700.0,"LINESTRING (6.65386 52.35804, 6.65066 52.36015, 6.64984 52.36073, 6.64929 52.36106, 6.64891 52.36126, 6.64809 52.36165, 6.64741 52.36194, 6.64501 52.36285, 6.64404 52.36318, 6.64331 52.36339, 6.64267 52.36356, 6.64194 52.36372, 6.64052 52.36396, 6.63963 52.36408, 6.63907 52.36412, 6.6376 52.36419, 6.63613 52.36417, 6.63467 52.36408, 6.63322 52.36397, 6.6303 52.36379, 6.59816 52.36178, 6.59165 52.36147)","[1.0, 0.9803921568627451, 0.0]"
12,200,RSN,HON,23700.0,"LINESTRING (6.52037 52.31214, 6.51904 52.31164, 6.51771 52.31125, 6.51634 52.31094, 6.51354 52.31043, 6.51217 52.31014, 6.51151 52.30997, 6.51082 52.30975, 6.50954 52.30932, 6.49562 52.30431, 6.45869 52.29139, 6.45614 52.29052, 6.45481 52.29014, 6.45345 52.2898, 6.45207 52.28951, 6.42026 52.28392)","[1.0, 0.9803921568627451, 0.0]"
13,201,HON,DVC,23700.0,"LINESTRING (6.42026 52.28392, 6.37314 52.27562, 6.36469 52.27412, 6.3633 52.27381, 6.36269 52.27365, 6.36199 52.27343, 6.36073 52.27296, 6.329 52.26001, 6.32778 52.25954, 6.3265 52.25911, 6.32518 52.25871, 6.32383 52.25836, 6.30331 52.25357, 6.30252 52.25339, 6.30125 52.25314, 6.30051 52.25303, 6.29984 52.25295, 6.29905 52.25288, 6.29759 52.25282, 6.27273 52.25199, 6.25372 52.25133, 6.25225 52.2513, 6.2464 52.25129, 6.24493 52.25127, 6.2347 52.25096, 6.21444 52.25031)","[1.0, 0.9803921568627451, 0.0]"
14,142,RSD,BGN,39700.0,"LINESTRING (4.45837 51.54025, 4.45654 51.53912, 4.45593 51.53869, 4.45474 51.53774, 4.45423 51.53725, 4.45398 51.53698, 4.45357 51.53642, 4.45331 51.53595, 4.45297 51.53526, 4.45267 51.53476, 4.45123 51.53208, 4.45034 51.53037, 4.44987 51.52952, 4.4496 51.52911, 4.44869 51.52788, 4.44801 51.52708, 4.44728 51.52631, 4.44648 51.52557, 4.44563 51.52485, 4.44471 51.52415, 4.44375 51.52347, 4.44274 51.52282, 4.44169 51.52221, 4.4406 51.52163, 4.43946 51.52108, 4.43827 51.52056, 4.43707 51.52009, 4.43582 51.51964, 4.43454 51.51923, 4.43323 51.51886, 4.43189 51.51853, 4.43052 51.51824, 4.42913 51.51799, 4.42774 51.51778, 4.42632 51.5176, 4.31679 51.50647, 4.31197 51.50596, 4.3111 51.50585, 4.31041 51.50575, 4.30909 51.5055, 4.30768 51.50516, 4.30702 51.50497, 4.30575 51.50456, 4.30516 51.50434, 4.30451 51.50408, 4.30393 51.50383, 4.30286 51.50332, 4.30208 51.5029, 4.30121 51.50236, 4.30055 51.50192, 4.29977 51.50133, 4.29918 51.50082, 4.29838 51.50006, 4.29796 51.4996, 4.2977 51.49927, 4.29731 51.49864, 4.2971 51.4982, 4.29666 51.49689, 4.29624 51.49511, 4.296 51.49389)","[1.0, 0.9647058823529412, 0.0]"
15,143,BGN,RB,39700.0,"LINESTRING (4.296 51.49389, 4.29588 51.49332, 4.29544 51.49155, 4.2953 51.49066, 4.29531 51.48974, 4.29574 51.48346, 4.29714 51.4619, 4.29764 51.45382, 4.29763 51.45291, 4.29757 51.45202, 4.29744 51.45112, 4.29726 51.45022, 4.29702 51.44934, 4.29673 51.44846, 4.29639 51.44758, 4.29597 51.44672, 4.29552 51.44587, 4.29501 51.44503, 4.29443 51.44419, 4.29384 51.4434, 4.29316 51.44259, 4.29245 51.44181, 4.29169 51.44106, 4.2907 51.44017, 4.28982 51.43946, 4.2889 51.43876, 4.28793 51.43809, 4.28692 51.43745, 4.28588 51.43683, 4.28479 51.43623, 4.28368 51.43567, 4.28252 51.43512, 4.28135 51.43462, 4.28011 51.43414, 4.27887 51.43369, 4.2776 51.43327, 4.2763 51.43288, 4.27496 51.43252, 4.27363 51.4322, 4.27226 51.43191, 4.27089 51.43166, 4.2695 51.43144, 4.26809 51.43125, 4.26666 51.43109, 4.26239 51.43074, 4.20538 51.4262, 4.16113 51.42264)","[1.0, 0.9647058823529412, 0.0]"
16,144,RB,KBD,39700.0,"LINESTRING (4.16113 51.42264, 4.15832 51.42243, 4.15687 51.42237, 4.15545 51.42234, 4.154 51.42235, 4.15257 51.4224, 4.15184 51.42244, 4.14972 51.42259, 4.1483 51.42274, 4.14688 51.42293, 4.14549 51.42315, 4.14411 51.42341, 4.14276 51.4237, 4.14141 51.42402, 4.14009 51.42438, 4.13879 51.42477, 4.13752 51.42519, 4.13629 51.42565, 4.11698 51.43336)","[1.0, 0.9647058823529412, 0.0]"
17,145,KBD,KRG,39700.0,"LINESTRING (4.11698 51.43336, 4.08045 51.44795, 4.04521 51.46199, 4.0404 51.46395, 4.03738 51.46516)","[1.0, 0.9647058823529412, 0.0]"
18,146,KRG,BZL,39700.0,"LINESTRING (4.03738 51.46516, 4.03432 51.46637, 4.03184 51.46731, 4.03063 51.46779, 4.02942 51.46824, 4.02876 51.46846, 4.02754 51.46881, 4.02613 51.46913, 4.02475 51.46937, 4.02403 51.46947, 4.02261 51.46962, 4.02191 51.46966, 4.02049 51.4697, 4.00392 51.4694, 4.00247 51.46939, 4.00104 51.46939, 3.9996 51.46942, 3.99816 51.46947, 3.99673 51.46955, 3.9953 51.46966, 3.99388 51.4698, 3.99245 51.46995, 3.99104 51.47014, 3.98965 51.47034, 3.98827 51.47057, 3.98688 51.47083, 3.98552 51.47111, 3.98416 51.47142, 3.98282 51.47175, 3.9815 51.4721, 3.98019 51.47248, 3.97924 51.47277, 3.97796 51.47319, 3.956 51.48071)","[1.0, 0.9647058823529412, 0.0]"
19,147,BZL,GS,39700.0,"LINESTRING (3.956 51.48071, 3.91231 51.49568, 3.90977 51.49654, 3.90848 51.49695, 3.90718 51.49733, 3.90584 51.49766, 3.90446 51.49793, 3.90306 51.49814, 3.90164 51.49826, 3.90075 51.49831, 3.89876 51.49836, 3.89732 51.49835, 3.89443 51.49823, 3.89055 51.49816)","[1.0, 0.9647058823529412, 0.0]"
