,From,To,Seats
191,AHZ,AH,164313.0
192,AH,OTB,107512.0
193,OTB,WF,107512.0
194,WF,ED,107512.0
195,ED,KLP,96700.0
196,KLP,MRN,96700.0
197,MRN,DB,123940.0
198,DB,BNK,130840.0
199,BNK,UTVR,130840.0
200,ASB,RAI,93280.0
201,VL,BR,44600.0
202,BR,HRT,44600.0
203,HRT,DN,44600.0
204,DN,HMBH,65800.0
205,HMBH,HM,65800.0
206,HM,HMH,65800.0
207,HMH,HMBV,65800.0
208,HMBV,EHV,65800.0
209,RSD,ETN,42000.0
210,ETN,BD,42000.0
211,TB,HT,67364.0
212,HT,HTO,66906.0
213,HTO,RS,66906.0
214,RS,OW,66906.0
215,OW,O,66906.0
216,O,RVS,65528.0
217,RVS,WC,65528.0
218,WC,NMD,78258.0
219,NMD,NMGO,78258.0
220,NMGO,NM,78258.0
221,AH,AHP,58150.0
222,AHP,AHPR,58150.0
223,AHPR,VP,58150.0
224,VP,RH,58150.0
225,RH,DR,58150.0
226,DR,BMN,58150.0
227,BMN,ZP,58150.0
228,ZP,DV,41200.0
229,DV,OST,41200.0
230,OST,WH,41200.0
231,WH,ZL,41200.0
232,HRL,HB,35400.0
233,HB,NH,35400.0
234,NH,SN,35400.0
235,SN,SBK,35400.0
236,SBK,GLN,35400.0
237,GLN,STD,35400.0
238,WD,BKL,37044.0
239,HN,OBD,26136.0
240,OBD,HWD,26136.0
241,UTG,HK,30616.0
242,HK,BV,30616.0
243,BV,DRH,30616.0
244,DRH,SPTN,30616.0
245,SPTN,SPTZ,30616.0
246,SPTZ,BLL,30616.0
247,BLL,HLM,30616.0
248,UTO,HOR,49524.0
249,HOR,HVSP,49524.0
250,HVSP,HVS,49524.0
251,NDB,AMPO,26506.0
252,ZVT,OVN,29644.0
253,OVN,HLM,29644.0
254,BRN,SD,1000.0
255,SD,ST,1000.0
256,ST,STZ,1000.0
257,STZ,DLD,1000.0
258,ZLW,BDPB,26653.0
259,TL,TPSW,27972.0
260,TPSW,GDM,27972.0
261,RHN,VNDC,27240.0
262,VNDC,VNDW,27240.0
263,VNDW,MRN,27240.0
264,WD,BDG,43956.0
265,BDG,APN,43956.0
266,APN,LDL,44496.0
267,LDL,LEDN,44496.0
268,ES,ESK,21300.0
269,ESK,HGL,21300.0
270,HGL,BN,21300.0
271,BN,AMRI,21300.0
272,AMRI,AML,21300.0
