,From,To,Seats
213,HMBH,HM,42649.0
214,HM,HMH,42649.0
215,HMH,HMBV,42649.0
216,HMBV,EHV,42649.0
217,TB,HT,44573.0
218,HT,HTO,44038.0
219,HTO,RS,44038.0
220,RS,OW,44038.0
221,OW,O,44038.0
222,O,RVS,44038.0
223,RVS,WC,44038.0
224,WC,NMD,44038.0
225,NMD,NMGO,44038.0
226,NMGO,NM,44038.0
227,AH,AHP,45829.0
228,AHP,AHPR,37144.0
229,AHPR,VP,37144.0
230,VP,RH,37144.0
231,RH,DR,37144.0
232,DR,BMN,37144.0
233,BMN,ZP,37144.0
234,ZP,DV,31600.0
235,DV,OST,31600.0
236,OST,WH,31600.0
237,WH,ZL,31600.0
238,BD,ETN,1000.0
239,ETN,RSD,1000.0
240,HRL,HB,28704.0
241,HB,NH,28704.0
242,NH,SN,28704.0
243,SN,SBK,28704.0
244,SBK,GLN,28704.0
245,GLN,STD,28704.0
246,WD,BKL,33156.0
247,HN,OBD,22896.0
248,OBD,HWD,22896.0
249,UTG,HK,27216.0
250,HK,BV,27216.0
251,BV,DRH,27216.0
252,DRH,SPTN,27216.0
253,SPTN,SPTZ,27216.0
254,SPTZ,BLL,27216.0
255,BLL,HLM,27216.0
256,GVC,GV,200.0
257,ZVT,OVN,26352.0
258,OVN,HLM,26352.0
259,BRN,SD,5754.0
260,SD,ST,5754.0
261,ST,STZ,5754.0
262,STZ,DLD,5754.0
263,ZLW,BDPB,530.0
264,BDPB,BD,530.0
265,TL,TPSW,17604.0
266,TPSW,GDM,17604.0
267,RHN,VNDC,12090.0
268,VNDC,VNDW,12090.0
269,VNDW,MRN,12090.0
270,WD,BDG,19440.0
271,BDG,APN,19440.0
272,APN,LDL,19440.0
273,LDL,LEDN,19440.0
274,UTO,HOR,18976.0
275,HOR,HVSP,18976.0
276,HVSP,HVS,18976.0
277,NDB,AMPO,16632.0
278,ZP,VEM,10305.0
279,VEM,KBK,10305.0
280,KBK,APDM,10305.0
281,APDM,APD,10305.0
282,AHBF,AW,8550.0
283,AW,HZ,8550.0
284,HZ,EGHM,8550.0
285,EGHM,LG,8550.0
286,LG,HRL,12765.0
287,HRL,HRLW,12378.0
288,HRLW,VDL,12378.0
289,VDL,KMR,12378.0
290,KMR,SOG,12378.0
291,SOG,VK,12378.0
292,VK,SGL,12378.0
293,SGL,MES,12378.0
294,MES,MTN,12378.0
295,MTN,MT,12378.0
296,MT,MTR,17850.0
297,MTR,EDN,5814.0
298,EDN,FVS,5814.0
