,From,To,Seats
214,OW,O,60887.0
215,O,RVS,60887.0
216,RVS,WC,60887.0
217,WC,NMD,71596.0
218,NMD,NMGO,71596.0
219,NMGO,NM,71596.0
220,AH,AHP,66198.0
221,AHP,AHPR,53868.0
222,AHPR,VP,53868.0
223,VP,RH,53868.0
224,RH,DR,53868.0
225,DR,BMN,53868.0
226,BMN,ZP,53868.0
227,ZP,DV,39200.0
228,DV,OST,39200.0
229,OST,WH,39200.0
230,WH,ZL,39200.0
231,RLB,BRD,26040.0
232,BRD,ZWD,26040.0
233,ZWD,DDR,26040.0
234,HRL,HB,34892.0
235,HB,NH,34892.0
236,NH,SN,34892.0
237,SN,SBK,34892.0
238,SBK,GLN,34892.0
239,GLN,STD,34892.0
240,WD,BKL,35964.0
241,HN,OBD,33372.0
242,OBD,HWD,33372.0
243,UTG,HK,38448.0
244,HK,BV,38448.0
245,BV,DRH,38448.0
246,DRH,SPTN,38448.0
247,SPTN,SPTZ,38448.0
248,SPTZ,BLL,38448.0
249,BLL,HLM,38448.0
250,DTCP,DT,45800.0
251,GV,GVC,45800.0
252,ZVT,OVN,37800.0
253,OVN,HLM,37800.0
254,BRN,SD,15660.0
255,SD,ST,15660.0
256,ST,STZ,15660.0
257,STZ,DLD,15660.0
258,UTO,HOR,29716.0
259,HOR,HVSP,29716.0
260,HVSP,HVS,29716.0
261,RSD,ODB,11850.0
262,ODB,ZVB,11850.0
263,ZVB,ZLW,11850.0
264,ZLW,DDZD,36432.0
265,DDZD,DDR,36432.0
266,ZLW,BDPB,24582.0
267,TL,TPSW,34560.0
268,TPSW,GDM,34560.0
269,RHN,VNDC,21014.0
270,VNDC,VNDW,21014.0
271,VNDW,MRN,21014.0
272,WD,BDG,38340.0
273,BDG,APN,38340.0
274,APN,LDL,38880.0
275,LDL,LEDN,38880.0
276,NDB,AMPO,26864.0
277,UT,RTD,800.0
278,HT,EHV,1412.0
279,EMN,EMNZ,6885.0
280,EMNZ,NA,6885.0
281,NA,DLN,6885.0
282,DLN,CO,6885.0
283,CO,GBG,8775.0
284,GBG,HDB,8775.0
285,HDB,MRB,12155.0
286,MRB,OMN,8775.0
287,OMN,DL,8775.0
288,DL,ZL,8775.0
289,ZP,VEM,8235.0
290,VEM,KBK,8235.0
291,KBK,APDM,8235.0
292,APDM,APD,8235.0
293,AHBF,AW,10431.0
294,AW,HZ,10431.0
295,HZ,EGHM,10431.0
296,EGHM,LG,10431.0
297,LG,HRL,17229.0
298,HRL,HRLW,16878.0
299,HRLW,VDL,16878.0
300,VDL,KMR,16878.0
301,KMR,SOG,16878.0
302,SOG,VK,16878.0
303,VK,SGL,16878.0
304,SGL,MES,16878.0
305,MES,MTN,16878.0
306,MTN,MT,16878.0
307,MT,MTR,23262.0
308,MTR,EDN,6156.0
309,EDN,FVS,6156.0
310,FVS,BRESSX,6156.0
311,BRESSX,LUIK,6156.0
312,GERP,KW,14715.0
313,KW,MTH,14715.0
314,MTH,HGZ,14715.0
315,HGZ,ZB,14715.0
316,ZB,SDA,9495.0
317,SDA,WS,9495.0
318,WS,NSCH,5265.0
319,WW,WWW,8370.0
320,WWW,LTV,8370.0
321,LTV,RL,8370.0
322,RL,VD,8370.0
323,VD,ZP,8370.0
324,WW,ATN,12330.0
325,ATN,VSV,12330.0
326,VSV,TBG,12330.0
327,TBG,GDR,12330.0
328,GDR,DTC,12330.0
329,DTC,DTCH,12330.0
330,DTCH,WL,12330.0
331,WL,DID,12330.0
332,DID,ZV,12330.0
333,ZV,DVN,12330.0
334,DVN,WTV,12330.0
335,WTV,AHP,12330.0
336,MRB,VHP,3900.0
337,VHP,DA,3900.0
338,DA,VZ,3900.0
339,VZ,AML,3900.0
340,EST,ZA,6210.0
341,ZA,HMN,6210.0
342,HMN,OP,6210.0
343,OP,KTR,6210.0
344,KTR,TL,6210.0
345,ODZ,HGLO,11700.0
346,HGLO,HGL,11700.0
347,HGL,HGLG,11310.0
348,HGLG,DDN,11310.0
349,DDN,GO,11310.0
350,GO,LC,11310.0
351,LC,ZP,11310.0
352,LG,EGH,6798.0
353,EGH,CVM,6798.0
354,CVM,KRD,6798.0
355,RM,SM,12105.0
356,SM,RV,12105.0
357,RV,TG,12105.0
358,TG,VL,12105.0
359,BR,VRY,13275.0
360,VRY,VLB,15210.0
361,VLB,BMR,15210.0
362,BMR,CK,15210.0
363,CK,MMLH,15210.0
364,MMLH,NMH,15210.0
