,index,From,To,Seats,geometry,color
14,149,KRG,BZL,800.0,"LINESTRING (4.03738 51.46516, 4.03432 51.46637, 4.03184 51.46731, 4.03063 51.46779, 4.02942 51.46824, 4.02876 51.46846, 4.02754 51.46881, 4.02613 51.46913, 4.02475 51.46937, 4.02403 51.46947, 4.02261 51.46962, 4.02191 51.46966, 4.02049 51.4697, 4.00392 51.4694, 4.00247 51.46939, 4.00104 51.46939, 3.9996 51.46942, 3.99816 51.46947, 3.99673 51.46955, 3.9953 51.46966, 3.99388 51.4698, 3.99245 51.46995, 3.99104 51.47014, 3.98965 51.47034, 3.98827 51.47057, 3.98688 51.47083, 3.98552 51.47111, 3.98416 51.47142, 3.98282 51.47175, 3.9815 51.4721, 3.98019 51.47248, 3.97924 51.47277, 3.97796 51.47319, 3.956 51.48071)","[1.0, 0.996078431372549, 0.0]"
15,146,BGN,RB,800.0,"LINESTRING (4.296 51.49389, 4.29588 51.49332, 4.29544 51.49155, 4.2953 51.49066, 4.29531 51.48974, 4.29574 51.48346, 4.29714 51.4619, 4.29764 51.45382, 4.29763 51.45291, 4.29757 51.45202, 4.29744 51.45112, 4.29726 51.45022, 4.29702 51.44934, 4.29673 51.44846, 4.29639 51.44758, 4.29597 51.44672, 4.29552 51.44587, 4.29501 51.44503, 4.29443 51.44419, 4.29384 51.4434, 4.29316 51.44259, 4.29245 51.44181, 4.29169 51.44106, 4.2907 51.44017, 4.28982 51.43946, 4.2889 51.43876, 4.28793 51.43809, 4.28692 51.43745, 4.28588 51.43683, 4.28479 51.43623, 4.28368 51.43567, 4.28252 51.43512, 4.28135 51.43462, 4.28011 51.43414, 4.27887 51.43369, 4.2776 51.43327, 4.2763 51.43288, 4.27496 51.43252, 4.27363 51.4322, 4.27226 51.43191, 4.27089 51.43166, 4.2695 51.43144, 4.26809 51.43125, 4.26666 51.43109, 4.26239 51.43074, 4.20538 51.4262, 4.16113 51.42264)","[1.0, 0.996078431372549, 0.0]"
16,145,RSD,BGN,1400.0,"LINESTRING (4.45837 51.54025, 4.45654 51.53912, 4.45593 51.53869, 4.45474 51.53774, 4.45423 51.53725, 4.45398 51.53698, 4.45357 51.53642, 4.45331 51.53595, 4.45297 51.53526, 4.45267 51.53476, 4.45123 51.53208, 4.45034 51.53037, 4.44987 51.52952, 4.4496 51.52911, 4.44869 51.52788, 4.44801 51.52708, 4.44728 51.52631, 4.44648 51.52557, 4.44563 51.52485, 4.44471 51.52415, 4.44375 51.52347, 4.44274 51.52282, 4.44169 51.52221, 4.4406 51.52163, 4.43946 51.52108, 4.43827 51.52056, 4.43707 51.52009, 4.43582 51.51964, 4.43454 51.51923, 4.43323 51.51886, 4.43189 51.51853, 4.43052 51.51824, 4.42913 51.51799, 4.42774 51.51778, 4.42632 51.5176, 4.31679 51.50647, 4.31197 51.50596, 4.3111 51.50585, 4.31041 51.50575, 4.30909 51.5055, 4.30768 51.50516, 4.30702 51.50497, 4.30575 51.50456, 4.30516 51.50434, 4.30451 51.50408, 4.30393 51.50383, 4.30286 51.50332, 4.30208 51.5029, 4.30121 51.50236, 4.30055 51.50192, 4.29977 51.50133, 4.29918 51.50082, 4.29838 51.50006, 4.29796 51.4996, 4.2977 51.49927, 4.29731 51.49864, 4.2971 51.4982, 4.29666 51.49689, 4.29624 51.49511, 4.296 51.49389)","[1.0, 0.9921568627450981, 0.0]"
17,244,HT,EHV,1412.0,LINESTRING EMPTY,"[1.0, 0.9921568627450981, 0.0]"
18,257,KW,MTH,4140.0,"LINESTRING (6.72208 53.16173, 6.723 53.16157, 6.72374 53.16147, 6.72451 53.16139, 6.72591 53.16129, 6.7403 53.16081)","[1.0, 0.9803921568627451, 0.0]"
19,258,MTH,HGZ,4140.0,"LINESTRING (6.7403 53.16081, 6.76412 53.16, 6.77074 53.15975)","[1.0, 0.9803921568627451, 0.0]"
20,256,GERP,KW,4140.0,"LINESTRING (6.58546 53.20483, 6.58697 53.20406, 6.58929 53.20293, 6.59283 53.20127, 6.59399 53.2007, 6.59518 53.20016, 6.59611 53.19972, 6.59766 53.19908, 6.59893 53.19858, 6.60154 53.19772, 6.66994 53.17723, 6.7195 53.16233, 6.72022 53.16213, 6.72158 53.16182, 6.72208 53.16173)","[1.0, 0.9803921568627451, 0.0]"
21,261,SDA,WS,4140.0,"LINESTRING (6.97775 53.16552, 6.98096 53.16383, 6.99098 53.15844, 6.9921 53.15786, 6.99434 53.15664, 7.00552 53.15068, 7.00886 53.14887, 7.02115 53.14231, 7.02234 53.14174, 7.02358 53.14125, 7.02487 53.14082, 7.02624 53.14046, 7.02765 53.14017, 7.03081 53.1397, 7.03508 53.13919)","[1.0, 0.9803921568627451, 0.0]"
22,259,HGZ,ZB,4140.0,"LINESTRING (6.77074 53.15975, 6.77757 53.15954, 6.78955 53.15914, 6.79103 53.15908, 6.82688 53.15785, 6.83881 53.15743, 6.8444 53.15724, 6.84514 53.15724, 6.84627 53.15727, 6.84776 53.15739, 6.8625 53.15887, 6.86797 53.1594)","[1.0, 0.9803921568627451, 0.0]"
23,260,ZB,SDA,4140.0,"LINESTRING (6.86797 53.1594, 6.87461 53.16008, 6.87724 53.16036, 6.8779 53.16041, 6.87935 53.16049, 6.8804 53.16052, 6.88189 53.16052, 6.88485 53.16044, 6.88636 53.16041, 6.88786 53.16043, 6.88934 53.16049, 6.89082 53.1606, 6.89702 53.16121, 6.89849 53.16136, 6.89995 53.16155, 6.9014 53.16178, 6.90282 53.16205, 6.90424 53.16237, 6.907 53.16303, 6.90841 53.16332, 6.90985 53.16356, 6.91133 53.16376, 6.91281 53.16392, 6.96513 53.16912, 6.96595 53.16916, 6.9667 53.16916, 6.96742 53.16914, 6.96821 53.16909, 6.9689 53.16901, 6.96967 53.1689, 6.97035 53.16877, 6.9711 53.1686, 6.97175 53.16842, 6.97234 53.16823, 6.97305 53.16797, 6.97366 53.16771, 6.97423 53.16744, 6.97775 53.16552)","[1.0, 0.9803921568627451, 0.0]"
