,From,To,Seats
93,ASA,ASDM,1099246.0
94,ASDM,ASD,1696851.0
95,ASD,ASS,2804743.0
96,ASS,ZD,1225384.0
97,ZD,KZ,782144.0
98,KZ,ZZS,782144.0
99,ZZS,WM,782144.0
100,WM,KMA,782144.0
101,KMA,UTG,782144.0
102,UTG,CAS,694680.0
103,CAS,HLO,694680.0
104,HLO,AMR,694680.0
105,AMR,AMRN,514968.0
106,AMRN,HWD,491504.0
107,HWD,SGN,293000.0
108,SGN,ANA,293000.0
109,ANA,HDRZ,293000.0
110,HDRZ,HDR,293000.0
111,ASS,ASDL,815456.0
112,ASDL,SHL,815456.0
113,HFD,RTD,334020.0
114,RTD,RTB,1054418.0
115,RTB,RTZ,1040018.0
116,RTZ,RTST,1040018.0
117,RTST,RLB,1040018.0
118,RLB,BDPB,290404.0
119,BDPB,BD,429607.0
120,BTL,OT,394238.0
121,OT,TB,394238.0
122,TB,TBU,816577.0
123,TBU,TBR,679519.0
124,TBR,GZ,679519.0
125,GZ,BD,679519.0
126,RTD,SDM,811339.0
127,SDM,DTCP,810039.0
128,DTCP,DT,855839.0
129,DT,RSW,951839.0
130,RSW,GVMW,951839.0
131,GVMW,GV,951839.0
132,GV,GVC,397880.0
133,GV,LAA,610974.0
134,DV,TWL,215675.0
135,TWL,APDO,215675.0
136,APDO,APD,215675.0
137,APD,HVL,99275.0
138,HVL,AMF,99275.0
139,AMF,BRN,388497.0
140,BRN,HVS,464414.0
141,HVS,HVSM,721347.0
142,HVSM,BSMZ,721197.0
143,BSMZ,NDB,721547.0
144,NDB,WP,553347.0
145,WP,DMN,597330.0
146,DMN,ASSP,597480.0
147,ASSP,ASDM,597780.0
148,ES,ESK,143600.0
149,ESK,HGL,143600.0
150,HGL,BN,143600.0
151,BN,AMRI,143600.0
152,AMRI,AML,143600.0
153,AML,WDN,96850.0
154,WDN,RSN,96850.0
155,RSN,HON,153700.0
156,HON,DVC,153700.0
157,DVC,DV,162525.0
158,GD,LLZM,580057.0
159,LLZM,ZTMO,580057.0
160,ZTMO,ZTM,580057.0
161,ZTM,YPB,580057.0
162,YPB,VB,580057.0
163,VB,GVC,579625.0
164,LEDN,VH,584180.0
165,VH,HIL,584180.0
166,HIL,HAD,584180.0
167,HAD,HLM,586180.0
168,HLM,HLMS,975329.0
169,HLMS,HWZB,975329.0
170,HWZB,ASS,975329.0
171,RLB,BRD,750514.0
172,BRD,ZWD,750514.0
173,ZWD,DDR,750514.0
174,DDR,DDZD,475653.0
175,DDZD,ZLW,475653.0
176,ZLW,ZVB,336450.0
177,ZVB,ODB,336450.0
178,ODB,RSD,336450.0
179,RSD,BGN,298100.0
180,BGN,RB,289900.0
181,RB,KBD,289900.0
182,KBD,KRG,289900.0
183,KRG,BZL,289900.0
184,BZL,GS,289900.0
185,GS,ARN,289900.0
186,ARN,MDB,289900.0
187,MDB,VSS,289900.0
188,VSS,VS,289900.0
189,ZD,ZDK,441840.0
190,ZDK,PMW,441840.0
191,PMW,PMR,441840.0
192,PMR,PMO,441840.0
193,PMO,HN,441840.0
194,HN,HNK,412040.0
195,HNK,HKS,311640.0
196,HKS,BKG,311640.0
197,BKG,BKF,311640.0
198,BKF,EKZ,311640.0
199,NM,NML,979707.0
200,NML,EST,975207.0
201,EST,AHZ,975207.0
202,AHZ,AH,975207.0
203,AH,OTB,665058.0
204,OTB,WF,665058.0
205,WF,ED,665058.0
206,ED,KLP,595950.0
207,KLP,MRN,596350.0
208,MRN,DB,759836.0
209,DB,BNK,804496.0
210,BNK,UTVR,804496.0
211,ASB,RAI,551030.0
212,VL,BR,290400.0
213,BR,HRT,290400.0
214,HRT,DN,290400.0
215,DN,HMBH,409120.0
216,HMBH,HM,409968.0
217,HM,HMH,409968.0
218,HMH,HMBV,409968.0
219,HMBV,EHV,409968.0
220,RSD,ETN,206200.0
221,ETN,BD,206200.0
222,TB,HT,422681.0
223,HT,HTO,417284.0
224,HTO,RS,416542.0
225,RS,OW,416542.0
226,OW,O,416542.0
227,O,RVS,411348.0
228,RVS,WC,411348.0
229,WC,NMD,478368.0
230,NMD,NMGO,478368.0
231,NMGO,NM,478368.0
232,AH,AHP,364185.0
233,AHP,AHPR,364185.0
234,AHPR,VP,364185.0
235,VP,RH,364185.0
236,RH,DR,364185.0
237,DR,BMN,363785.0
238,BMN,ZP,363785.0
239,ZP,DV,266600.0
240,DV,OST,266600.0
241,OST,WH,266600.0
242,WH,ZL,266600.0
243,HRL,HB,215400.0
244,HB,NH,215400.0
245,NH,SN,215400.0
246,SN,SBK,215400.0
247,SBK,GLN,215400.0
248,GLN,STD,215400.0
249,WD,BKL,257472.0
250,HN,OBD,198072.0
251,OBD,HWD,198072.0
252,UTG,HK,229500.0
253,HK,BV,229500.0
254,BV,DRH,229500.0
255,DRH,SPTN,229500.0
256,SPTN,SPTZ,229500.0
257,SPTZ,BLL,229500.0
258,BLL,HLM,229500.0
259,UTO,HOR,269760.0
260,HOR,HVSP,269436.0
261,HVSP,HVS,269760.0
262,NDB,AMPO,168350.0
263,ZVT,OVN,226044.0
264,OVN,HLM,226044.0
265,BRN,SD,54746.0
266,SD,ST,54746.0
267,ST,STZ,54746.0
268,STZ,DLD,54746.0
269,ZLW,BDPB,139203.0
270,TL,TPSW,191808.0
271,TPSW,GDM,191808.0
272,RHN,VNDC,163486.0
273,VNDC,VNDW,163486.0
274,VNDW,MRN,163486.0
275,WD,BDG,265356.0
276,BDG,APN,265356.0
277,APN,LDL,268056.0
278,LDL,LEDN,268056.0
279,GD,RTD,1300.0
280,UT,RTD,1600.0
281,HT,EHV,3024.0
