,From,To,Seats
213,HMBV,EHV,47333.0
214,TB,HT,48559.0
215,HT,HTO,46747.0
216,HTO,RS,46747.0
217,RS,OW,46747.0
218,OW,O,46747.0
219,O,RVS,46747.0
220,RVS,WC,46747.0
221,WC,NMD,53544.0
222,NMD,NMGO,53544.0
223,NMGO,NM,53544.0
224,AH,AHP,54382.0
225,AHP,AHPR,43222.0
226,AHPR,VP,43222.0
227,VP,RH,43222.0
228,RH,DR,43222.0
229,DR,BMN,42822.0
230,BMN,ZP,42822.0
231,ZP,DV,31600.0
232,DV,OST,31600.0
233,OST,WH,31600.0
234,WH,ZL,31600.0
235,HRL,HB,29132.0
236,HB,NH,29132.0
237,NH,SN,29132.0
238,SN,SBK,29132.0
239,SBK,GLN,29132.0
240,GLN,STD,29132.0
241,WD,BKL,37260.0
242,WP,DMN,42510.0
243,DMN,ASSP,42960.0
244,ASSP,ASDM,42960.0
245,HN,OBD,26244.0
246,OBD,HWD,26244.0
247,UTG,HK,31644.0
248,HK,BV,31644.0
249,BV,DRH,31644.0
250,DRH,SPTN,31644.0
251,SPTN,SPTZ,31644.0
252,SPTZ,BLL,31644.0
253,BLL,HLM,31644.0
254,GV,GVC,3748.0
255,ZVT,OVN,33588.0
256,OVN,HLM,33588.0
257,BRN,SD,9072.0
258,SD,ST,9072.0
259,ST,STZ,9072.0
260,STZ,DLD,9072.0
261,BD,BDPB,8291.0
262,BDPB,ZLW,8291.0
263,TL,TPSW,25164.0
264,TPSW,GDM,25164.0
265,RHN,VNDC,19924.0
266,VNDC,VNDW,19924.0
267,VNDW,MRN,19924.0
268,WD,BDG,27324.0
269,BDG,APN,27324.0
270,APN,LDL,27324.0
271,LDL,LEDN,27324.0
272,UTO,HOR,23202.0
273,HOR,HVSP,23202.0
274,HVSP,HVS,23202.0
275,NDB,AMPO,19932.0
276,UT,RTD,800.0
277,HT,EHV,1612.0
278,ZP,VEM,4860.0
279,VEM,KBK,4860.0
280,KBK,APDM,4860.0
281,APDM,APD,4860.0
282,AHBF,AW,10602.0
283,AW,HZ,10602.0
284,HZ,EGHM,10602.0
285,EGHM,LG,10602.0
286,LG,HRL,15303.0
287,HRL,HRLW,14961.0
288,HRLW,VDL,14961.0
289,VDL,KMR,14961.0
290,KMR,SOG,14961.0
291,SOG,VK,14961.0
292,VK,SGL,14961.0
293,SGL,MES,14961.0
294,MES,MTN,14961.0
295,MTN,MT,14961.0
296,MT,MTR,19179.0
297,MTR,EDN,6156.0
298,EDN,FVS,6156.0
299,FVS,BRESSX,6156.0
300,BRESSX,LUIK,6156.0
301,ZP,VD,3735.0
302,VD,RL,3735.0
303,RL,LTV,3735.0
304,LTV,WWW,3735.0
305,WWW,WW,3735.0
306,WW,ATN,11160.0
307,ATN,VSV,11160.0
308,VSV,TBG,11160.0
309,TBG,GDR,11160.0
310,GDR,DTC,11160.0
311,DTC,DTCH,11160.0
312,DTCH,WL,11160.0
313,WL,DID,11160.0
314,DID,ZV,11160.0
315,ZV,DVN,11160.0
316,DVN,WTV,11160.0
317,WTV,AHP,11160.0
318,HDB,MRB,7455.0
319,MRB,VHP,2990.0
320,VHP,DA,2990.0
321,DA,VZ,2990.0
322,VZ,AML,2990.0
323,EST,ZA,3060.0
324,ZA,HMN,3060.0
325,HMN,OP,3060.0
326,OP,KTR,3060.0
327,KTR,TL,3060.0
328,ODZ,HGLO,9190.0
329,HGLO,HGL,9190.0
330,HGL,HGLG,8400.0
331,HGLG,DDN,8400.0
332,DDN,GO,8400.0
333,GO,LC,8400.0
334,LC,ZP,8400.0
335,LG,EGH,4701.0
336,EGH,CVM,4701.0
337,CVM,KRD,4701.0
338,RM,SM,9045.0
339,SM,RV,9045.0
340,RV,TG,9045.0
341,TG,VL,9045.0
342,BR,VRY,9720.0
343,VRY,VLB,9720.0
344,VLB,BMR,9720.0
345,BMR,CK,9720.0
346,CK,MMLH,9720.0
347,MMLH,NMH,9720.0
348,NMH,NM,9720.0
349,LW,LWC,18504.0
350,LWC,HDG,18504.0
351,HDG,FWD,18504.0
352,FWD,DWE,18504.0
353,DWE,BP,18504.0
354,BP,GK,18504.0
355,GK,ZH,18504.0
356,ZH,GN,19422.0
357,EEM,RD,1980.0
358,RD,UHM,6480.0
359,UHM,UHZ,6480.0
360,UHZ,UST,6480.0
361,UST,WFM,6480.0
362,WFM,BF,6480.0
363,BF,WSM,6480.0
364,WSM,SWD,6480.0
365,SWD,GNN,13050.0
366,GNN,GN,13050.0
367,DZ,DZW,6570.0
368,DZW,APG,6570.0
369,APG,LP,6570.0
370,LP,STM,6570.0
371,STM,BDM,6570.0
372,BDM,SWD,6570.0
373,ZL,DL,4725.0
374,DL,OMN,4725.0
375,OMN,MRB,4725.0
376,HDB,GBG,4725.0
377,GBG,CO,4725.0
378,CO,DLN,4725.0
379,DLN,NA,4725.0
380,NA,EMNZ,4725.0
381,EMNZ,EMN,4725.0
382,GR,BHDV,15975.0
383,BHDV,GND,15975.0
384,GND,HBZM,15975.0
385,HBZM,SDT,15975.0
386,SDT,SDTB,15975.0
387,SDTB,DDRS,15975.0
388,DDRS,DDR,15975.0
389,GDM,BSD,9585.0
390,BSD,LDM,9585.0
